Name,Team,Position,Nationality,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work rate,Bofy type,Release cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
L. Öztunal?,1. FSV Mainz 05,"RM, RW, CM",Germany,73,76,4200000,19000,24,German 1. Bundesliga,Right,Medium/Low,Normal (170-185),9400000,67,66,54,65,63,80,78,72,67,75,79,71,74,72,68,73,66,68,73,68,57,54,73,68,58,69,38,44,46,10,16,13,15,9
V. Ibiševi?,FC Schalke 04,ST,Bosnia and Herzegovina,75,75,2400000,21000,35,German 1. Bundesliga,Right,Medium/Low,Normal (185+),5300000,64,80,80,75,82,71,73,56,47,75,38,60,60,80,59,81,76,50,78,59,78,30,81,71,83,79,55,33,24,16,12,13,14,16
B. Stambouli,FC Schalke 04,"CB, CDM",France,77,77,9000000,27000,29,German 1. Bundesliga,Right,Low/High,Normal (170-185),12800000,45,50,72,77,40,67,42,43,79,76,58,54,66,78,65,65,73,75,76,62,78,80,60,74,50,80,82,80,75,8,13,11,15,15
Omar Mascarell,FC Schalke 04,"CDM, CM",Spain,79,80,18000000,31000,27,German 1. Bundesliga,Right,Low/Medium,Lean (170-185),23100000,50,53,56,82,54,76,61,65,83,80,63,63,74,77,72,72,74,77,72,68,70,85,61,75,68,74,79,74,67,6,7,9,10,11
M. Dabbur,TSG Hoffenheim,ST,Israel,79,79,18000000,46000,28,German 1. Bundesliga,Right,Medium/Low,Normal (170-185),22100000,50,83,80,73,74,78,74,66,63,81,74,66,77,80,73,76,90,75,75,69,39,19,85,69,74,78,22,37,27,13,12,10,15,11
Javi Martínez,FC Bayern München,"CDM, CB",Spain,81,81,18000000,76000,31,German 1. Bundesliga,Right,Low/Medium,Normal (185+),22300000,58,43,85,77,58,61,46,45,75,72,34,39,47,83,45,76,81,67,83,62,86,84,54,74,52,78,84,84,84,5,12,9,11,8
K. Coman,FC Bayern München,"LM, RM, LW",France,84,88,60500000,95000,24,German 1. Bundesliga,Right,Medium/Low,Unique,69900000,77,76,52,78,77,88,81,70,73,87,94,93,88,84,84,80,73,66,64,73,36,23,83,79,70,76,29,27,21,5,3,5,3,5
P. Dárdai,Hertha BSC,"LM, RM",Germany,64,76,1400000,7000,21,German 1. Bundesliga,Left,Medium/Low,Lean (170-185),1500000,64,62,34,58,46,72,42,35,45,68,74,68,77,57,76,63,53,53,34,58,40,22,55,55,47,51,53,45,34,11,13,8,11,11
M. Gregoritsch,FC Augsburg,"ST, CAM",Austria,74,77,5500000,26000,26,German 1. Bundesliga,Left,Medium/Low,Normal (185+),13100000,65,73,73,74,75,72,81,76,70,74,55,59,59,75,52,79,34,69,79,73,58,33,72,73,64,68,36,40,38,10,6,9,16,6
J. Dilrosun,Hertha BSC,LM,Netherlands,75,86,12500000,33000,22,German 1. Bundesliga,Left,Medium/Low,Normal (170-185),21900000,73,74,32,72,60,83,60,49,60,78,87,82,85,65,77,72,40,67,54,42,37,45,70,54,55,56,50,48,27,8,15,11,7,11
M. Nastasi?,FC Schalke 04,CB,Serbia,77,79,11000000,26000,27,German 1. Bundesliga,Left,Low/High,Normal (185+),16900000,46,30,77,72,32,43,72,68,68,63,65,72,64,78,60,44,81,63,78,22,77,78,30,55,52,80,80,78,81,11,16,11,15,13
T. Delaney,Borussia Dortmund,"CDM, CM",Denmark,81,81,22500000,64000,28,German 1. Bundesliga,Left,Low/High,Normal (170-185),27200000,67,72,83,76,66,74,71,68,79,75,77,77,73,80,72,78,91,89,77,74,84,86,75,73,60,78,80,81,84,8,12,11,14,15
J. Mina,SV Werder Bremen,CAM,Ecuador,64,78,1400000,2000,18,German 1. Bundesliga,Left,High/Low,Lean (170-185),2200000,51,68,59,65,53,60,49,55,62,65,64,61,65,63,71,63,63,61,37,63,43,27,62,64,58,55,40,44,42,13,6,9,12,13
C. Mola,VfB Stuttgart,"LB, CDM, CB",England,66,81,1900000,3000,19,German 1. Bundesliga,Left,High/Low,Lean (170-185),3200000,66,38,51,67,33,64,51,47,70,65,71,66,70,62,70,42,60,65,64,40,58,66,58,53,43,46,58,67,59,8,14,12,10,7
D. Lukébakio,Hertha BSC,"RM, ST, LM",Belgium,77,83,17000000,37000,22,German 1. Bundesliga,Left,High/Low,Lean (185+),22800000,68,77,54,74,66,82,69,65,61,79,82,82,76,76,70,75,67,69,69,71,33,26,78,69,64,76,31,29,24,9,7,14,11,12
J. Willems,Eintracht Frankfurt,"LWB, LB, LM",Netherlands,77,78,11500000,26000,26,German 1. Bundesliga,Left,High/Low,Stocky (170-185),16000000,83,59,67,75,53,78,84,63,71,78,74,75,67,74,76,78,77,75,78,73,73,70,69,77,46,73,72,75,73,9,14,16,7,10
L. Bailey,Bayer 04 Leverkusen,"LM, RM",Jamaica,80,85,32500000,59000,22,German 1. Bundesliga,Left,High/Low,Normal (170-185),35500000,73,74,57,73,74,84,77,79,65,80,93,95,86,79,84,79,77,75,59,77,58,21,79,76,71,75,45,25,18,12,13,6,15,14
O. Marmoush,VfL Wolfsburg,"ST, RM, LM",Canada,61,69,750000,6000,21,German 1. Bundesliga,Right,High/Low,Normal (170-185),713000,36,64,63,54,50,60,48,38,38,59,68,68,63,63,73,65,70,65,46,68,44,25,53,56,73,47,20,22,21,11,13,15,8,11
T. Maciejewski,1. FC Union Berlin,"RW, CAM, LM",Germany,64,78,1400000,5000,19,German 1. Bundesliga,Right,High/Low,Normal (170-185),2400000,53,70,40,62,53,68,46,41,45,62,77,79,73,75,69,71,39,67,63,46,38,22,46,52,63,51,27,24,28,14,14,14,11,7
D. Limnios,1. FC Köln,"RM, LM",Greece,73,80,6000000,19000,22,German 1. Bundesliga,Right,High/Low,Lean (170-185),11000000,65,66,56,68,70,77,60,66,60,73,82,77,79,68,78,70,55,72,56,68,50,26,73,71,55,65,46,39,35,15,8,7,12,5
J. Mateta,1. FSV Mainz 05,ST,France,76,83,15000000,26000,23,German 1. Bundesliga,Right,High/Low,Normal (185+),22000000,39,77,78,65,73,74,53,32,41,73,74,78,70,75,53,75,77,65,85,63,71,26,79,59,74,69,29,31,22,8,8,7,13,11
William,VfL Wolfsburg,"RB, RM, LB",Brazil,76,80,9500000,35000,25,German 1. Bundesliga,Right,High/Low,Normal (170-185),15100000,77,32,50,75,28,77,64,66,64,77,78,69,78,75,84,76,68,74,63,65,76,85,70,54,42,64,72,73,68,7,10,8,7,7
Matheus Cunha,Hertha BSC,"CAM, ST, LM",Brazil,78,87,31500000,34000,21,German 1. Bundesliga,Right,High/Low,Lean (170-185),30400000,75,82,64,74,75,85,77,60,65,83,78,79,83,79,78,78,74,75,68,79,69,20,78,72,70,80,32,28,35,8,7,13,13,11
C. Gebauer,DSC Arminia Bielefeld,"ST, RM, RWB",Austria,67,70,1300000,9000,26,German 1. Bundesliga,Right,High/High,Lean (185+),1800000,62,66,55,64,58,66,54,42,52,67,91,92,68,65,62,63,41,77,69,58,47,55,66,57,52,59,44,49,39,14,12,6,8,14
J. Ryerson,1. FC Union Berlin,"RB, CDM, RM",Norway,67,75,2200000,8000,22,German 1. Bundesliga,Right,High/High,Normal (170-185),2000000,63,55,58,64,52,63,58,28,60,65,69,62,75,61,72,60,82,76,70,56,79,62,57,57,49,64,63,66,65,7,13,8,7,7
F. Passlack,Borussia Dortmund,"RM, RB",Germany,68,78,2700000,16000,22,German 1. Bundesliga,Right,High/High,Normal (170-),2700000,68,56,44,70,51,70,69,63,58,71,74,72,75,64,90,70,74,78,71,54,83,59,60,61,66,59,68,67,64,10,11,10,16,9
R. Gumny,FC Augsburg,RB,Poland,70,81,3400000,12000,22,German 1. Bundesliga,Right,High/High,Lean (170-185),5600000,64,28,50,67,46,66,53,31,52,68,89,83,82,63,75,47,66,81,70,38,41,67,54,57,38,64,63,67,64,11,6,13,12,6
G. Prömel,1. FC Union Berlin,"CM, CDM",Germany,70,75,2300000,15000,25,German 1. Bundesliga,Right,High/High,Normal (170-185),4300000,58,62,59,73,53,66,49,42,70,71,65,59,66,70,65,66,63,84,70,64,75,69,61,66,46,67,59,70,69,8,14,7,10,6
F. Jensen,FC Augsburg,CAM,Finland,71,78,3800000,15000,22,German 1. Bundesliga,Right,High/High,Normal (170-185),6600000,68,68,56,72,70,75,61,40,63,75,67,70,69,67,67,75,68,66,75,66,64,41,69,70,48,72,49,57,56,5,11,6,6,7
M. Hartel,DSC Arminia Bielefeld,"CAM, CM, LW",Germany,72,75,3200000,15000,24,German 1. Bundesliga,Right,High/High,Lean (170-185),7300000,61,61,45,74,67,77,68,52,68,76,77,61,84,71,81,69,56,93,47,66,52,35,67,73,48,62,29,28,27,14,15,8,10,12
A. Schöpf,FC Schalke 04,"CM, RM, RWB",Austria,72,74,2900000,19000,26,German 1. Bundesliga,Right,High/High,Lean (170-185),6600000,71,70,44,75,65,76,69,61,67,75,74,64,74,72,76,68,62,91,65,70,64,65,71,68,64,71,68,64,56,13,6,13,11,10
A. Hahn,FC Augsburg,"RM, ST",Germany,72,72,2300000,20000,29,German 1. Bundesliga,Right,High/High,Normal (185+),5400000,79,73,75,64,73,66,54,52,62,68,69,63,61,77,61,81,80,87,79,76,85,52,75,71,47,64,49,56,59,14,14,13,15,11
G. Burgstaller,FC Schalke 04,ST,Austria,72,72,2000000,21000,31,German 1. Bundesliga,Right,High/High,Normal (185+),4800000,69,70,74,73,72,70,62,42,58,69,54,55,62,78,63,79,69,85,79,70,84,34,77,64,64,78,35,39,21,12,7,14,10,9
A. Voglsammer,DSC Arminia Bielefeld,"LW, ST",Germany,73,73,3100000,22000,28,German 1. Bundesliga,Right,High/High,Stocky (170-185),7200000,64,76,73,72,63,68,67,64,47,71,75,84,65,74,76,80,83,66,83,72,82,29,74,71,69,69,39,34,23,12,9,7,14,8
D. Drexler,1. FC Köln,"CAM, CM, LM",Germany,73,73,2900000,22000,30,German 1. Bundesliga,Right,High/High,Lean (170-185),6800000,69,66,49,76,65,77,68,52,66,76,76,66,79,73,77,61,59,74,50,60,50,22,66,78,58,77,58,34,28,7,9,7,6,14
G. Til,Sport-Club Freiburg,"CAM, CM",Netherlands,74,81,8500000,19000,22,German 1. Bundesliga,Right,High/High,Normal (185+),16000000,57,72,66,76,61,70,58,63,73,75,68,74,69,77,73,70,52,89,66,70,67,66,75,75,66,75,56,62,60,12,6,12,11,14
K. Ehizibue,1. FC Köln,"RB, RM",Netherlands,74,78,5500000,21000,25,German 1. Bundesliga,Right,High/High,Normal (185+),12200000,71,54,67,66,42,74,57,38,66,71,86,94,67,67,56,70,74,85,79,56,78,65,64,62,44,70,68,68,70,13,10,7,11,11
T. Chandler,Eintracht Frankfurt,"RM, RWB, RB",United States,74,74,4100000,24000,30,German 1. Bundesliga,Right,High/High,Normal (185+),9400000,79,70,81,76,66,74,70,43,75,75,67,67,53,72,52,78,90,73,82,70,82,68,74,67,51,72,73,77,76,12,7,8,11,12
D. Latza,1. FSV Mainz 05,"CM, CDM",Germany,74,74,4000000,24000,30,German 1. Bundesliga,Right,High/High,Normal (170-185),9000000,71,38,61,76,54,72,54,59,75,76,66,61,73,75,74,75,73,90,68,76,82,71,70,73,73,75,70,56,49,7,16,14,6,16
T. Adams,RB Leipzig,"CDM, RWB",United States,76,85,16000000,29000,21,German 1. Bundesliga,Right,High/High,Normal (170-185),20900000,52,48,65,77,33,70,52,42,72,71,78,74,79,77,85,51,83,86,68,46,76,74,65,71,51,75,74,76,69,6,13,12,8,7
M. Eggestein,SV Werder Bremen,"CM, CDM",Germany,76,83,15000000,23000,23,German 1. Bundesliga,Right,High/High,Normal (170-185),20000000,70,59,65,76,50,77,64,48,76,81,67,74,73,77,69,81,53,94,76,72,70,70,67,76,60,75,72,73,70,15,10,13,15,8
M. Dahoud,Borussia Dortmund,"CM, CDM",Germany,76,81,11500000,41000,24,German 1. Bundesliga,Right,High/High,Lean (170-185),17800000,67,58,43,77,59,82,68,53,75,81,78,68,86,77,87,81,71,89,57,73,68,77,66,79,55,62,72,58,52,14,7,9,12,11
F. Klos,DSC Arminia Bielefeld,ST,Germany,76,76,6000000,27000,32,German 1. Bundesliga,Right,High/High,Normal (185+),10800000,46,79,84,72,73,65,56,45,62,68,51,74,46,77,43,79,64,67,91,66,79,29,78,71,80,80,46,32,24,7,11,7,7,13
E. Palacios,Bayer 04 Leverkusen,"CM, RM, CAM",Argentina,77,86,23500000,40000,21,German 1. Bundesliga,Right,High/High,Lean (170-185),25700000,69,71,63,79,65,77,68,47,75,79,75,77,79,75,79,81,72,87,68,78,75,68,73,77,63,82,66,71,69,10,5,8,9,6
D. Klaassen,SV Werder Bremen,"CM, CAM",Netherlands,77,78,12000000,29000,27,German 1. Bundesliga,Right,High/High,Normal (170-185),17800000,64,75,75,76,81,73,61,44,75,81,67,61,68,78,68,81,67,90,68,76,78,70,78,79,68,80,64,74,65,12,6,13,16,10
V. Darida,Hertha BSC,"CM, CAM, CDM",Czech Republic,77,77,10500000,45000,29,German 1. Bundesliga,Right,High/High,Lean (170-185),14500000,70,67,60,77,65,80,78,69,75,79,69,64,78,75,85,75,76,97,48,76,56,69,72,74,76,79,72,74,65,16,14,16,14,14
S. Rode,Eintracht Frankfurt,"CDM, CM",Germany,77,77,9000000,27000,29,German 1. Bundesliga,Right,High/High,Normal (170-185),12800000,69,60,66,76,55,73,51,52,74,74,71,65,69,76,74,75,76,75,75,68,85,79,70,73,51,76,78,77,74,9,8,14,7,11
F. Niederlechner,FC Augsburg,ST,Germany,78,78,14000000,35000,29,German 1. Bundesliga,Right,High/High,Normal (185+),18900000,54,81,69,74,78,75,62,44,56,75,74,81,67,79,66,84,64,82,79,69,80,35,79,68,69,75,27,35,28,15,7,6,16,16
C. Kramer,Borussia Mönchengladbach,CDM,Germany,78,78,12000000,37000,29,German 1. Bundesliga,Right,High/High,Lean (185+),15300000,60,46,61,77,58,72,54,51,71,76,52,48,64,82,54,54,51,90,71,42,75,81,70,72,47,77,80,77,72,8,13,9,6,8
D. da Costa,Eintracht Frankfurt,"RWB, RM, RB",Germany,78,79,15000000,28000,26,German 1. Bundesliga,Right,High/High,Normal (185+),18600000,75,51,71,69,54,73,66,49,69,73,76,74,65,75,63,68,85,91,80,55,75,74,71,68,40,73,74,76,78,15,15,12,6,6
V. Lazaro,Borussia Mönchengladbach,"RM, RWB, RB",Austria,79,83,25000000,81000,24,German 1. Bundesliga,Right,High/High,Lean (170-185),,80,69,49,77,72,81,77,69,72,81,84,80,80,76,77,69,56,71,66,70,65,71,76,75,67,77,72,70,69,8,13,11,8,8
S. Lainer,Borussia Mönchengladbach,RB,Austria,80,80,20500000,41000,27,German 1. Bundesliga,Right,High/High,Normal (170-185),22100000,78,59,64,76,63,76,65,33,70,71,82,78,77,77,78,73,68,93,72,65,88,74,66,60,45,75,72,74,77,10,14,7,8,7
P. Kade?ábek,TSG Hoffenheim,"RWB, RB, RM",Czech Republic,80,80,19000000,41000,28,German 1. Bundesliga,Right,High/High,Normal (170-185),21300000,86,28,75,77,57,76,57,52,69,77,78,70,66,82,66,66,83,86,79,41,78,70,72,72,54,78,72,77,75,10,11,14,13,7
W. Weghorst,VfL Wolfsburg,ST,Netherlands,81,81,28000000,62000,27,German 1. Bundesliga,Right,High/High,Normal (185+),32300000,42,86,88,76,80,65,40,37,48,79,57,72,63,83,44,84,79,85,86,70,83,34,85,65,77,83,37,32,25,11,9,14,16,12
K. Kampl,RB Leipzig,"CM, CDM, CAM",Slovenia,81,81,25000000,65000,29,German 1. Bundesliga,Right,High/High,Lean (170-185),28900000,72,62,34,84,68,85,80,75,78,84,81,59,90,82,82,69,67,86,47,74,66,75,72,82,64,84,66,63,59,13,11,7,6,16
M. Sabitzer,RB Leipzig,"CM, CAM",Austria,83,85,44500000,74000,26,German 1. Bundesliga,Right,High/High,Normal (170-185),55000000,74,81,60,83,82,79,75,78,79,82,76,83,75,86,80,88,71,84,76,88,77,64,83,83,65,80,69,64,59,11,13,14,15,13
T. Hazard,Borussia Dortmund,"LM, RM, CF",Belgium,83,83,38500000,79000,27,German 1. Bundesliga,Right,High/High,Lean (170-185),45900000,81,76,39,82,80,86,83,81,73,84,86,83,91,82,88,78,60,80,65,77,57,63,81,83,81,78,56,46,48,6,9,7,7,8
T. Müller,FC Bayern München,"CAM, RM, RW",Germany,86,86,65500000,130000,30,German 1. Bundesliga,Right,High/High,Lean (185+),69300000,85,85,81,84,84,75,81,59,78,82,68,68,73,94,71,78,77,86,66,81,62,58,94,85,60,84,47,57,46,6,7,11,14,14
M. Hummels,Borussia Dortmund,CB,Germany,86,86,46500000,95000,31,German 1. Bundesliga,Right,High/High,Normal (185+),56100000,65,55,87,82,60,69,66,53,86,81,46,67,63,87,60,71,68,65,86,51,71,91,56,80,68,89,90,88,86,15,6,10,5,6
T. Chong,SV Werder Bremen,"LM, RM",Netherlands,66,82,2200000,19000,20,German 1. Bundesliga,Left,High/High,Lean (185+),,65,61,46,63,59,67,67,62,58,59,75,79,74,54,48,73,56,65,59,62,65,42,66,65,51,58,43,46,42,13,7,14,8,11
J. Laursen,DSC Arminia Bielefeld,"LB, LWB",Denmark,68,71,1500000,9000,25,German 1. Bundesliga,Left,High/High,Lean (170-185),1800000,67,52,48,67,30,66,52,37,58,68,73,76,76,55,70,46,69,78,72,36,62,58,69,54,40,50,67,68,65,9,12,16,12,14
P. Förster,VfB Stuttgart,"CM, CAM",Germany,70,73,2100000,13000,25,German 1. Bundesliga,Left,High/High,Normal (185+),4100000,65,61,49,73,49,72,60,63,67,73,68,69,69,69,66,70,58,88,74,61,63,56,72,73,54,68,64,60,52,8,8,6,6,6
E. Rexhbeçaj,1. FC Köln,CM,Kosovo,71,79,4200000,22000,22,German 1. Bundesliga,Left,High/High,Normal (170-185),,70,51,58,76,50,72,49,41,74,74,66,66,70,71,70,72,58,75,60,58,74,60,70,70,54,62,65,67,64,14,11,6,8,14
X. Schlager,VfL Wolfsburg,"CM, CAM, CDM",Austria,76,83,15000000,35000,22,German 1. Bundesliga,Left,High/High,Normal (170-185),20000000,59,64,44,76,58,75,70,60,72,77,77,64,78,79,77,77,60,85,71,75,77,78,74,76,56,72,60,67,69,6,8,8,12,7
L. Hernández,FC Bayern München,"CB, LB",France,82,87,41500000,70000,24,German 1. Bundesliga,Left,High/High,Unique,45700000,78,53,82,79,46,65,59,39,63,79,77,77,70,85,68,62,85,75,77,51,86,83,62,63,42,76,81,84,86,10,7,8,14,10
F. Kosti?,Eintracht Frankfurt,"LM, LWB",Serbia,83,83,38500000,45000,27,German 1. Bundesliga,Left,High/High,Normal (170-185),45900000,89,74,59,75,70,85,79,80,73,83,89,87,76,81,77,84,67,91,77,78,78,63,79,81,64,80,69,72,68,13,14,12,12,13
E. Haaland,Borussia Dortmund,ST,Norway,84,92,92000000,56000,19,German 1. Bundesliga,Left,High/High,Unique,85500000,46,87,67,74,82,75,77,62,49,78,80,88,75,83,67,93,70,78,91,83,82,41,86,68,80,83,45,38,30,7,14,13,11,7
I. Jakobs,1. FC Köln,"LM, LB",Germany,69,81,3400000,9000,20,German 1. Bundesliga,Left,Medium/High,Normal (170-185),3800000,63,61,54,64,41,72,44,30,49,71,84,88,70,68,67,58,54,77,65,39,61,64,59,55,39,56,60,58,63,15,8,10,7,11
M. Schmelzer,Borussia Dortmund,LB,Germany,74,74,2900000,38000,32,German 1. Bundesliga,Left,Medium/High,Normal (170-185),6000000,71,34,68,72,47,63,73,64,63,68,68,65,65,75,63,75,75,65,74,54,80,76,54,52,46,72,76,75,74,14,10,15,9,8
D. Sow,Eintracht Frankfurt,"CM, CDM",Switzerland,74,81,8500000,21000,23,German 1. Bundesliga,Right,Medium/High,Normal (170-185),15200000,71,65,62,76,69,73,67,64,74,75,75,74,74,74,75,70,71,80,75,69,68,72,70,71,58,72,73,72,67,6,12,9,7,8
D. Zeefuik,Hertha BSC,RB,Netherlands,75,81,8500000,30000,22,German 1. Bundesliga,Right,Medium/High,Normal (170-185),15200000,73,33,62,64,38,72,43,39,57,65,76,77,70,69,76,56,93,84,79,29,83,72,56,57,46,67,70,76,78,6,5,6,10,10
W. Endo,VfB Stuttgart,"CDM, CM",Japan,75,76,6000000,21000,27,German 1. Bundesliga,Right,Medium/High,Normal (170-185),13100000,58,59,74,75,26,67,43,46,76,77,72,60,69,69,72,67,87,72,68,65,77,75,49,69,62,77,74,74,72,9,13,7,11,5
J. Boëtius,1. FSV Mainz 05,CAM,Netherlands,76,77,9000000,27000,26,German 1. Bundesliga,Right,Medium/High,Normal (170-185),16900000,72,70,57,75,72,81,80,60,65,80,84,79,87,74,75,71,68,83,60,70,47,39,75,76,61,72,43,43,38,15,12,9,11,9
A. Mehmedi,VfL Wolfsburg,"CF, LM, CAM",Switzerland,76,76,7500000,45000,29,German 1. Bundesliga,Right,Medium/High,Normal (170-185),12800000,74,75,56,75,80,81,74,58,58,81,70,68,77,78,76,80,64,67,67,72,68,44,78,74,69,75,43,43,36,13,14,8,15,16
J. Baumgartlinger,Bayer 04 Leverkusen,CDM,Austria,77,77,7000000,50000,32,German 1. Bundesliga,Right,Medium/High,Normal (170-185),10200000,63,39,69,80,50,65,47,49,71,73,60,51,65,74,65,73,82,83,77,39,82,77,62,64,59,77,79,80,70,9,13,10,9,14
D. Marx,VfL Wolfsburg,CDM,Germany,61,73,750000,5000,20,German 1. Bundesliga,Right,Medium/High,Lean (170-185),808000,50,49,43,65,53,63,52,47,61,62,77,68,67,63,73,67,67,62,40,60,57,62,58,54,49,59,62,57,51,9,7,12,6,6
O. Rekik,Hertha BSC,CB,Netherlands,63,85,1500000,2000,18,German 1. Bundesliga,Right,Medium/High,Normal (185+),2100000,35,31,69,42,43,40,33,28,40,45,69,68,50,69,65,43,73,63,68,34,55,62,35,37,44,49,58,68,72,7,10,8,10,9
T. Becker,FC Schalke 04,"CB, RB",Germany,63,70,900000,4000,23,German 1. Bundesliga,Right,Medium/High,Normal (185+),903000,52,40,59,58,33,45,37,33,52,55,61,65,41,59,57,42,69,63,74,36,59,60,26,38,46,50,63,65,64,12,11,6,14,5
P. Erras,SV Werder Bremen,"CDM, CB, CM",Germany,69,74,1900000,11000,25,German 1. Bundesliga,Right,Medium/High,Lean (185+),2300000,44,40,57,73,18,41,24,32,67,60,33,37,31,71,29,49,34,68,81,47,63,69,43,67,31,75,71,71,57,13,9,11,8,12
A. Abrashi,Sport-Club Freiburg,"CDM, CM",Albania,71,71,1600000,14000,30,German 1. Bundesliga,Right,Medium/High,Stocky (170-185),3600000,49,47,38,64,45,58,51,45,58,63,65,64,82,68,86,71,74,82,67,54,89,73,53,57,54,58,72,75,76,16,16,13,13,12
