Name,Team,Position,Nationality,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work rate,Bofy type,Release cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
I. Šaponji?,Atlético de Madrid,ST,Serbia,68,76,2700000,17000,22,Spain Primera Division,Right,Medium/Low,Normal (185+),2900000,30,66,68,57,57,62,64,28,38,66,68,74,65,70,48,75,71,60,77,64,47,31,69,46,65,66,18,33,24,14,11,6,10,8
K. Kodro,Athletic Club de Bilbao,"ST, CAM",Bosnia and Herzegovina,68,69,1400000,10000,26,Spain Primera Division,Right,Medium/Low,Normal (185+),2400000,59,69,69,64,66,67,42,40,56,73,51,60,50,65,55,72,69,63,74,59,63,30,69,63,60,64,38,39,35,7,14,15,6,12
Guillamón,Valencia CF,"CB, CDM",Spain,69,83,3200000,10000,20,Spain Primera Division,Right,Low/Medium,Lean (170-185),6000000,49,29,67,72,35,53,48,33,67,66,61,61,53,64,69,49,73,60,65,35,67,72,30,59,39,55,70,71,70,13,11,13,13,13
Tete Morente,Elche CF,"LM, RM",Spain,69,78,3100000,8000,23,Spain Primera Division,Right,Medium/Low,Normal (170-185),3800000,67,69,59,65,59,71,73,69,62,69,88,79,81,56,55,72,64,65,68,65,63,45,60,64,59,57,49,35,28,13,9,7,11,10
J. Toro,SD Huesca,"LM, ST, CAM",Honduras,70,79,3500000,11000,23,Spain Primera Division,Right,Medium/Low,Normal (170-185),6500000,66,62,59,69,41,70,71,45,67,71,69,72,79,74,76,73,53,67,53,52,56,23,68,72,58,64,21,45,41,9,6,6,14,6
A. Lozano,Cádiz CF,ST,Honduras,70,71,1900000,17000,27,Spain Primera Division,Right,Medium/Low,Normal (185+),4800000,51,70,68,66,64,71,60,28,53,68,77,79,71,71,65,66,77,68,85,69,61,14,70,73,67,71,30,40,35,6,6,11,13,8
Jurado,Cádiz CF,"CAM, RM, LM",Spain,70,70,750000,16000,34,Spain Primera Division,Right,Medium/Low,Normal (170-185),2000000,73,70,47,72,69,74,80,78,70,70,63,55,70,68,61,75,60,47,59,68,45,30,70,73,66,68,29,26,27,11,15,7,6,13
Fede,Real Valladolid CF,"CDM, CM",Spain,73,79,4400000,13000,23,Spain Primera Division,Right,Low/High,Normal (170-185),11500000,55,53,63,75,56,61,57,56,70,68,62,60,64,72,76,63,66,85,68,51,79,74,53,65,59,70,70,70,72,11,9,7,6,13
Burgui,Deportivo Alavés,LM,Spain,73,74,3600000,19000,26,Spain Primera Division,Right,Medium/Low,Lean (170-185),10200000,74,69,55,74,54,75,76,72,63,76,72,73,71,71,60,65,55,64,63,66,35,38,75,69,59,69,59,28,21,6,8,10,12,10
E. Cabaco,Getafe CF,CB,Uruguay,74,79,5500000,20000,25,Spain Primera Division,Right,Low/High,Normal (185+),14100000,38,42,73,59,36,46,36,27,61,60,60,59,61,69,55,52,78,68,76,34,87,73,28,39,32,66,76,74,75,11,7,13,14,6
Etxeita,Getafe CF,CB,Spain,74,74,2700000,21000,32,Spain Primera Division,Right,Low/Medium,Normal (185+),7600000,36,29,77,67,38,47,35,43,59,65,34,49,66,71,51,54,78,68,80,34,80,74,28,30,30,66,70,75,76,6,7,8,10,7
Postigo,Levante Unión Deportiva,CB,Spain,75,75,3800000,20000,31,Spain Primera Division,Right,Low/Medium,Stocky (185+),10300000,42,44,70,66,36,51,30,26,67,67,60,78,59,68,53,56,72,61,82,34,75,75,30,48,45,72,80,76,73,13,13,7,7,10
N. Araújo,RC Celta de Vigo,CB,Mexico,75,76,5500000,21000,28,Spain Primera Division,Right,Low/Medium,Normal (185+),14100000,32,34,77,72,36,53,44,45,66,69,65,69,45,71,62,57,65,69,88,39,65,76,30,43,54,71,74,78,76,7,8,13,6,9
Adrián López,CA Osasuna,"ST, LM",Spain,75,75,4600000,30000,32,Spain Primera Division,Right,Medium/Low,Normal (170-185),11600000,65,75,73,74,75,79,76,57,65,82,73,71,72,74,65,76,71,49,68,71,58,32,77,71,76,66,20,19,16,13,14,12,6,15
J. Gnagnon,Sevilla FC,CB,France,76,80,9500000,20000,23,Spain Primera Division,Right,Low/High,Stocky (170-185),19600000,45,28,76,68,32,60,39,38,71,69,58,56,42,70,49,67,80,64,92,35,79,75,44,47,52,74,73,78,75,11,6,14,9,6
Aritz Elustondo,Real Sociedad,"CB, RB",Spain,76,80,9000000,24000,26,Spain Primera Division,Right,Low/High,Normal (170-185),19600000,72,26,78,73,30,48,53,41,43,75,62,67,60,78,60,39,70,70,74,40,80,75,36,32,43,68,72,79,80,7,10,12,15,8
Vallejo,Granada CF,CB,Spain,76,82,11000000,86000,23,Spain Primera Division,Right,Low/High,Lean (170-185),,41,44,74,71,36,56,29,31,72,68,67,72,68,78,69,49,77,54,72,31,80,79,32,33,45,75,78,75,76,10,13,15,13,6
Jason,Valencia CF,RM,Spain,76,77,9000000,30000,25,Spain Primera Division,Right,Medium/Low,Normal (170-185),19600000,72,74,62,75,70,79,70,69,65,78,78,78,75,76,73,77,72,68,67,71,60,54,77,72,68,69,43,50,40,9,9,11,11,14
M. Gonalons,Granada CF,"CDM, CM",France,76,76,5000000,23000,31,Spain Primera Division,Right,Low/Medium,Lean (185+),12600000,61,55,73,75,60,64,57,57,76,76,59,48,61,75,63,74,77,59,74,60,81,77,60,71,68,73,71,79,76,11,11,11,8,5
C. Bacca,Villarreal CF,ST,Colombia,77,77,6500000,34000,33,Spain Primera Division,Right,Medium/Low,Normal (170-185),11600000,60,78,75,68,77,75,69,58,55,76,69,67,67,76,73,78,72,59,72,60,58,34,83,68,80,76,40,16,14,12,12,8,5,8
Dani García,Athletic Club de Bilbao,"CM, CDM",Spain,79,79,17000000,29000,30,Spain Primera Division,Right,Low/High,Normal (170-185),24200000,55,69,46,84,52,72,61,57,80,80,51,46,66,81,76,72,64,91,80,73,86,82,73,73,58,77,82,85,80,6,14,14,6,11
Pedro León,SD Eibar,"RM, LM",Spain,79,79,11000000,33000,33,Spain Primera Division,Right,Medium/Low,Normal (170-185),15800000,92,74,36,85,76,78,87,85,88,83,60,57,67,77,70,84,34,59,62,80,55,43,80,84,71,71,50,46,36,11,12,10,15,16
Willian José,Real Sociedad,ST,Brazil,80,80,21500000,40000,28,Spain Primera Division,Right,Medium/Low,Normal (185+),32600000,54,82,84,78,74,76,68,60,50,79,64,70,65,82,37,84,79,70,92,75,75,35,83,76,76,78,40,32,30,15,14,16,15,8
Paco Alcácer,Villarreal CF,ST,Spain,81,82,31000000,45000,26,Spain Primera Division,Right,Medium/Low,Normal (170-185),45700000,53,85,78,78,85,78,85,85,51,82,79,77,82,85,82,82,67,62,63,84,57,26,86,67,71,84,43,24,22,12,14,14,8,5
Gabriel Paulista,Valencia CF,CB,Brazil,82,83,28000000,46000,29,Spain Primera Division,Right,Low/High,Lean (185+),45700000,67,42,81,80,48,60,57,46,74,69,69,68,66,81,65,61,83,80,82,50,87,87,51,65,51,69,83,83,82,15,6,15,15,7
Raúl Albiol,Villarreal CF,CB,Spain,82,82,10000000,41000,34,Spain Primera Division,Right,Low/High,Lean (185+),16800000,38,27,77,74,31,59,53,45,72,71,48,43,53,82,55,65,76,56,81,53,81,86,30,64,37,75,89,87,85,8,6,5,9,8
Muniain,Athletic Club de Bilbao,"LW, CAM, RW",Spain,83,83,38500000,41000,27,Spain Primera Division,Right,Medium/Low,Normal (170-),56700000,79,79,43,84,68,87,82,69,70,86,83,79,92,80,95,70,72,74,49,77,66,45,80,83,61,82,58,55,38,10,5,5,13,12
Isco,Real Madrid CF,"CAM, CM, LW",Spain,84,84,42500000,210000,28,Spain Primera Division,Right,Medium/Low,Normal (170-185),64600000,78,76,55,84,67,92,88,76,81,91,71,65,83,74,90,69,61,61,59,81,58,61,76,83,76,85,58,64,51,10,8,12,15,6
K. Benzema,Real Madrid CF,"CF, ST",France,89,89,83500000,350000,32,Spain Primera Division,Right,Medium/Low,Normal (170-185),108700000,75,88,91,86,86,87,81,73,73,90,77,72,79,91,69,84,79,78,80,79,63,39,90,87,84,90,47,24,18,13,11,5,5,7
Relu,Getafe CF,CDM,Spain,58,66,425000,3000,22,Spain Primera Division,Left,Low/Medium,Normal (170-185),391000,54,45,57,59,46,55,49,47,55,57,59,56,54,57,61,57,60,54,60,42,59,54,44,54,60,51,58,57,59,13,10,7,12,13
Dani Sandoval,Levante Unión Deportiva,"LM, RM",Spain,62,74,975000,4000,22,Spain Primera Division,Left,Medium/Low,Lean (170-185),1300000,59,55,42,57,58,64,52,48,55,63,75,75,73,58,66,63,48,51,48,61,45,23,56,56,51,57,12,15,22,8,12,10,12,11
K. Koindredi,Valencia CF,CM,France,63,80,1200000,2000,18,Spain Primera Division,Left,Medium/Low,Normal (170-185),2000000,55,62,55,67,61,65,58,68,62,67,70,67,62,65,59,78,58,63,70,82,57,44,65,64,38,70,36,43,48,12,9,14,6,10
Álvaro Giménez,Cádiz CF,ST,Spain,70,70,1600000,18000,29,Spain Primera Division,Left,Medium/Low,Normal (170-185),4000000,57,74,66,62,60,66,49,39,49,70,70,73,73,70,60,71,75,75,74,66,25,23,71,61,55,55,32,21,19,13,10,9,8,9
E. Mor,RC Celta de Vigo,"RM, ST",Turkey,72,79,4800000,14000,22,Spain Primera Division,Left,Medium/Low,Lean (170-),10100000,65,68,46,66,65,81,63,38,50,77,84,78,91,66,90,66,64,61,34,65,68,28,67,64,49,65,30,21,29,13,10,7,13,6
Pere Milla,Elche CF,"ST, CAM, LM",Spain,72,72,2500000,16000,27,Spain Primera Division,Left,Medium/Low,Lean (170-185),7300000,69,74,64,72,62,78,63,58,60,75,79,75,78,68,68,76,51,73,65,71,45,32,72,69,62,57,40,30,28,10,10,14,14,14
Hernâni,Levante Unión Deportiva,"RM, LM",Portugal,76,76,7500000,25000,28,Spain Primera Division,Left,Medium/Low,Lean (170-185),16800000,72,64,55,70,67,84,74,69,60,78,92,91,84,71,77,77,63,66,58,66,56,21,75,67,73,78,38,19,23,8,11,7,8,6
Negredo,Cádiz CF,ST,Spain,76,76,3600000,31000,34,Spain Primera Division,Left,Medium/Low,Stocky (185+),9000000,45,77,82,71,77,70,65,68,63,71,62,63,67,74,60,83,82,63,86,76,77,28,76,68,80,70,33,31,30,11,6,11,7,13
Lucas Pérez,Deportivo Alavés,ST,Spain,79,79,15000000,32000,31,Spain Primera Division,Left,Medium/Low,Normal (170-185),24200000,74,85,68,75,79,78,82,77,69,79,76,78,72,80,72,82,65,69,70,78,67,38,81,78,82,76,25,24,26,14,8,8,10,10
A. Januzaj,Real Sociedad,"RW, RM",Belgium,80,83,28000000,37000,25,Spain Primera Division,Left,Medium/Low,Lean (185+),40200000,82,77,42,79,70,86,80,70,74,82,80,76,80,77,77,74,61,71,58,77,41,36,78,76,60,73,30,23,22,15,10,11,12,7
L. Messi,FC Barcelona,"RW, ST, CF",Argentina,93,93,103500000,560000,33,Spain Primera Division,Left,Medium/Low,Unique,138400000,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,32,35,24,6,11,15,14,8
Diego Bri,Elche CF,"LW, RW",Spain,58,74,500000,650,17,Spain Primera Division,Left,High/Low,Lean (170-185),706000,58,58,27,59,54,62,60,47,56,60,63,64,62,49,78,59,39,49,41,43,25,20,57,53,49,46,29,21,21,10,10,5,6,11
Echu,Granada CF,"LW, CAM",Spain,62,72,900000,5000,22,Spain Primera Division,Left,High/Low,Lean (170-185),1200000,64,56,36,60,51,65,60,51,56,64,76,75,70,45,72,61,59,51,36,63,35,18,61,52,54,50,23,22,27,12,10,9,9,14
Fidel,Elche CF,"LM, RM, CM",Spain,72,72,2300000,14000,30,Spain Primera Division,Left,High/Low,Lean (170-185),6400000,77,73,46,64,58,71,67,73,61,70,74,75,80,71,74,72,75,71,61,66,65,35,74,72,72,65,43,21,35,14,14,10,9,12
Kangin Lee,Valencia CF,"CAM, ST, LM",Korea Republic,74,84,9000000,16000,19,Spain Primera Division,Left,High/Low,Lean (170-185),20700000,70,71,45,74,60,79,78,81,72,78,67,70,84,68,87,74,38,53,46,76,50,29,63,80,70,71,26,23,23,11,12,12,8,14
Munir,Sevilla FC,"ST, RW, LW",Spain,79,84,27000000,30000,24,Spain Primera Division,Left,High/Low,Lean (170-185),37000000,73,79,77,80,80,82,81,67,62,83,83,77,82,78,80,78,62,73,66,77,58,25,78,76,66,80,38,27,25,9,12,6,13,16
Cote,SD Eibar,LB,Spain,79,79,15000000,30000,30,Spain Primera Division,Left,High/Low,Lean (170-185),21000000,82,46,77,78,42,75,75,71,69,79,68,69,68,77,68,69,66,71,66,59,72,78,70,68,45,71,75,80,78,12,13,10,16,13
Marcelo,Real Madrid CF,LB,Brazil,83,83,25000000,170000,32,Spain Primera Division,Left,High/Low,Unique,32800000,84,73,73,81,63,89,84,67,77,91,81,78,83,82,85,81,76,74,76,70,80,80,81,78,59,82,71,77,79,12,5,5,5,9
J. Peñaloza,SD Huesca,"LM, CAM, ST",Colombia,60,78,650000,3000,20,Spain Primera Division,Right,High/Low,Normal (170-185),1300000,52,60,29,60,44,63,59,39,46,62,67,66,66,56,69,56,50,55,48,61,25,26,52,60,59,61,35,24,29,9,10,5,7,14
Alex Baena,Villarreal CF,"RW, LW, RM",Spain,64,79,1400000,3000,18,Spain Primera Division,Right,High/Low,Normal (170-185),2500000,61,64,41,60,61,71,63,58,62,70,62,63,58,47,69,68,43,55,48,66,34,37,65,58,55,54,40,39,38,6,11,8,12,11
Raúl García,Real Betis Balompié,ST,Spain,64,80,1500000,3000,19,Spain Primera Division,Right,High/Low,Lean (185+),2700000,32,66,64,55,54,66,40,39,41,64,69,68,55,51,52,67,58,46,67,56,54,15,67,50,50,54,19,17,28,12,15,13,6,6
Marvin,Real Madrid CF,RW,Spain,68,80,2900000,36000,20,Spain Primera Division,Right,High/Low,Normal (170-185),3600000,69,68,42,61,40,71,44,42,46,70,82,83,70,52,72,56,50,52,51,57,30,14,62,66,59,59,12,21,22,13,6,13,12,15
Gustavo Maia,FC Barcelona,"LW, RW, CF",Brazil,69,85,3600000,33000,19,Spain Primera Division,Right,High/Low,Lean (170-),6200000,63,69,55,62,65,73,66,60,60,70,75,78,79,66,69,70,57,68,63,68,40,20,68,66,62,50,20,17,21,8,9,8,7,7
Marcos Mauro,Cádiz CF,CB,Argentina,69,70,1300000,13000,29,Spain Primera Division,Right,High/Low,Normal (185+),2300000,45,39,75,69,37,57,36,39,62,64,59,62,34,64,55,50,64,68,73,45,66,68,35,36,38,52,65,71,70,16,11,9,11,12
Brandon Thomas,CA Osasuna,"ST, LM, CAM",Spain,69,74,2100000,14000,25,Spain Primera Division,Right,High/Low,Lean (170-185),3000000,59,71,58,59,67,73,64,54,56,69,78,76,83,71,87,72,73,79,62,69,39,42,74,67,69,66,23,26,27,8,9,7,14,16
Alex Pozo,Sevilla FC,"RB, RM, LM",Spain,70,81,3400000,9000,21,Spain Primera Division,Right,High/Low,Normal (170-185),6400000,72,70,67,70,64,74,59,52,64,71,75,72,86,68,78,68,62,68,37,73,31,62,65,63,58,55,64,70,62,10,13,7,12,15
Rafa Mir,SD Huesca,"ST, LM, RM",Spain,70,77,3200000,35000,23,Spain Primera Division,Right,High/Low,Normal (185+),,67,72,77,64,69,67,57,59,52,70,70,74,64,65,62,72,78,67,73,65,51,39,67,59,74,64,42,41,35,12,11,15,10,6
Álvaro Tejero,SD Eibar,RB,Spain,74,81,8000000,18000,23,Spain Primera Division,Right,High/Low,Normal (170-185),16100000,76,54,55,72,38,73,66,68,67,72,78,77,84,72,89,74,77,87,53,65,63,69,70,63,59,70,66,70,69,13,7,10,9,7
Nolito,RC Celta de Vigo,"LW, LM",Spain,76,76,4700000,25000,33,Spain Primera Division,Right,High/Low,Normal (170-185),9900000,76,77,56,75,65,76,81,76,69,78,69,63,74,79,74,73,61,57,62,76,73,50,78,75,74,77,49,39,27,10,15,12,8,8
Soldado,Granada CF,ST,Spain,76,76,3200000,21000,35,Spain Primera Division,Right,High/Low,Normal (170-185),7400000,66,79,78,79,81,73,70,66,58,77,54,54,64,77,62,79,75,54,72,72,76,41,81,75,79,76,38,41,38,13,13,14,9,6
N. Kalini?,Atlético de Madrid,ST,Croatia,77,77,8500000,51000,32,Spain Primera Division,Right,High/Low,Lean (185+),14400000,60,82,78,74,74,73,64,50,48,76,59,67,66,78,55,77,65,64,73,60,68,42,87,66,70,78,46,32,28,9,11,9,11,7
A. Isak,Real Sociedad,ST,Sweden,79,86,35000000,28000,20,Spain Primera Division,Right,High/Low,Unique,41400000,61,82,70,72,81,78,67,45,47,81,81,83,80,74,68,84,71,70,75,73,52,29,80,76,75,77,25,21,18,7,6,9,7,11
F. Orellana,Real Valladolid CF,"RM, LM, CAM",Chile,79,79,8000000,25000,34,Spain Primera Division,Right,High/Low,Lean (170-185),13700000,78,78,69,79,61,84,80,79,77,79,77,70,77,79,72,67,64,57,32,80,54,31,79,78,75,69,43,37,25,12,7,15,16,15
M. Gómez,Valencia CF,ST,Uruguay,80,85,32000000,40000,23,Spain Primera Division,Right,High/Low,Stocky (185+),43500000,59,84,87,73,75,72,75,57,64,77,67,68,67,80,60,81,83,79,87,74,74,21,87,70,72,82,35,20,23,7,8,13,12,6
Rubén Peña,Villarreal CF,"RB, LB",Spain,80,80,19000000,37000,28,Spain Primera Division,Right,High/Low,Normal (170-),26300000,81,71,72,77,66,82,59,56,66,81,78,86,78,78,85,75,69,78,66,66,63,72,78,65,64,72,72,78,79,7,11,10,16,10
Y. Carrasco,Atlético de Madrid,LM,Belgium,82,82,33500000,68000,26,Spain Primera Division,Right,High/Low,Lean (170-185),49200000,76,81,53,76,68,86,81,79,73,82,90,91,90,80,71,85,71,76,59,82,64,18,79,69,81,77,41,39,26,9,11,9,10,10
Querol,Cádiz CF,"RM, ST, LM",Spain,66,66,700000,8000,31,Spain Primera Division,Right,High/High,Lean (170-185),1300000,63,62,57,60,53,61,49,51,58,63,86,86,72,70,59,67,61,62,69,59,71,45,63,59,65,58,58,54,42,11,8,16,15,10
L. Boyé,Elche CF,"LW, ST, CAM",Argentina,69,74,2100000,18000,24,Spain Primera Division,Right,High/High,Stocky (170-185),,60,63,69,63,65,80,65,36,57,77,74,74,72,65,66,70,56,66,82,61,78,30,63,64,66,67,50,45,38,14,7,11,15,7
Nano Mesa,Cádiz CF,"ST, LM",Spain,69,74,2100000,14000,25,Spain Primera Division,Right,High/High,Stocky (170-185),3200000,62,65,62,64,67,72,72,48,46,74,85,74,76,68,75,74,78,71,72,63,43,21,70,61,69,65,29,29,20,15,11,14,7,9
A. Palaversa,Getafe CF,"CM, CDM, CAM",Croatia,71,83,4500000,43000,20,Spain Primera Division,Right,High/High,Lean (185+),,65,48,62,76,49,71,51,54,72,74,61,65,56,70,60,74,55,71,72,70,72,70,68,70,58,75,74,67,72,12,13,5,14,9
Y. Mut?,SD Eibar,ST,Japan,72,72,2500000,29000,27,Spain Primera Division,Right,High/High,Lean (170-185),,68,73,71,70,73,77,65,46,54,74,78,76,74,70,77,72,76,63,55,65,50,39,74,70,62,75,43,33,30,7,15,15,8,14
Luis Milla,Granada CF,CDM,Spain,76,81,10000000,22000,25,Spain Primera Division,Right,High/High,Lean (170-185),20700000,70,51,48,78,51,70,72,74,75,77,79,75,71,76,79,73,71,88,67,66,67,72,68,75,73,80,74,73,70,12,13,8,10,10
Puertas,Granada CF,"RM, LM",Spain,77,77,10500000,28000,28,Spain Primera Division,Right,High/High,Normal (170-185),18900000,77,78,73,75,65,75,62,45,68,77,77,79,77,71,71,80,73,77,75,71,70,41,82,72,65,60,44,39,31,15,10,14,12,9
Sergi Enrich,SD Eibar,ST,Spain,77,77,10500000,31000,30,Spain Primera Division,Right,High/High,Stocky (170-185),17900000,70,78,81,79,80,73,55,47,61,79,58,57,67,82,64,76,77,75,83,69,66,42,84,72,71,74,31,46,31,8,8,8,14,6
N. Maksimovi?,Getafe CF,"CDM, CM",Serbia,79,84,23500000,29000,25,Spain Primera Division,Right,High/High,Normal (185+),32600000,65,70,73,80,49,70,63,72,76,76,58,62,61,80,59,72,76,84,76,69,78,81,73,78,50,77,76,79,70,14,10,15,15,13
Lucas Vázquez,Real Madrid CF,RW,Spain,80,80,20500000,165000,29,Spain Primera Division,Right,High/High,Normal (170-185),29700000,80,72,56,78,58,81,82,71,75,80,83,79,80,81,82,80,68,91,57,76,72,61,80,78,56,75,57,57,56,9,16,9,9,7
Capa,Athletic Club de Bilbao,RB,Spain,81,81,23500000,31000,28,Spain Primera Division,Right,High/High,Stocky (170-185),31500000,81,56,60,80,54,78,80,58,67,78,82,83,80,76,86,83,81,93,86,67,86,77,78,78,54,78,74,78,76,12,13,6,12,11
H. Herrera,Atlético de Madrid,CM,Mexico,81,81,24500000,63000,30,Spain Primera Division,Right,High/High,Normal (185+),33800000,65,72,61,81,59,76,67,63,77,78,70,71,72,82,69,81,76,94,78,78,84,82,82,78,67,75,81,82,67,6,10,15,7,16
Marcos Llorente,Atlético de Madrid,"CM, CF, RM",Spain,82,85,40000000,65000,25,Spain Primera Division,Right,High/High,Lean (170-185),58400000,73,74,67,84,62,82,73,58,82,83,79,88,75,84,69,75,66,86,81,74,83,82,82,80,64,82,79,80,74,13,6,6,11,15
L. Ocampos,Sevilla FC,"RW, LW",Argentina,82,83,36500000,40000,25,Spain Primera Division,Right,High/High,Normal (185+),57600000,79,85,77,80,81,84,80,65,72,84,80,83,79,85,64,84,80,91,81,79,82,72,84,79,79,82,58,61,55,11,8,15,12,7
Morata,Atlético de Madrid,ST,Spain,82,83,35500000,74000,27,Spain Primera Division,Right,High/High,Normal (185+),55300000,73,83,86,78,80,83,76,44,51,83,75,84,72,80,63,80,84,77,80,72,69,24,85,76,75,79,37,14,20,4,5,4,4,5
F. Valverde,Real Madrid CF,CM,Uruguay,83,90,73500000,135000,21,Spain Primera Division,Right,High/High,Lean (170-185),81000000,66,70,59,85,70,79,70,66,84,82,82,89,76,84,69,80,59,86,79,81,81,81,76,80,59,82,79,80,76,6,10,6,15,8
Portu,Real Sociedad,"RW, RM, CF",Spain,83,83,36500000,50000,28,Spain Primera Division,Right,High/High,Normal (170-),54600000,80,82,77,83,72,84,80,64,79,81,90,90,81,78,81,82,75,89,73,75,82,55,80,82,53,74,55,61,59,14,10,15,15,13
Koke,Atlético de Madrid,"CM, RM, LM",Spain,85,85,54000000,90000,28,Spain Primera Division,Right,High/High,Normal (170-185),77900000,85,72,61,87,56,80,85,76,85,84,68,66,73,88,80,83,63,94,75,80,79,80,82,85,59,84,75,80,70,14,12,5,10,13
Carvajal,Real Madrid CF,RB,Spain,86,86,61500000,230000,28,Spain Primera Division,Right,High/High,Unique,77900000,84,51,72,83,49,78,76,47,74,84,79,80,79,84,81,68,77,89,74,47,84,83,75,74,45,82,83,83,85,13,13,15,9,15
Casemiro,Real Madrid CF,CDM,Brazil,89,89,90500000,310000,28,Spain Primera Division,Right,High/High,Unique,122000000,58,64,80,84,63,69,63,74,84,79,60,69,61,87,66,88,87,90,91,81,91,87,72,80,66,84,84,88,87,13,14,16,12,12
J. Sanabria,Atlético de Madrid,"RM, LM, CM",Uruguay,65,82,1900000,8000,20,Spain Primera Division,Left,High/High,Normal (170-185),3200000,62,59,43,66,48,66,63,56,59,67,78,73,76,60,78,56,50,50,50,54,66,46,60,63,58,62,47,45,47,9,6,6,9,10
Olabe,SD Eibar,"CM, RM, CDM",Spain,66,73,1700000,7000,24,Spain Primera Division,Left,High/High,Normal (170-185),2100000,68,58,45,71,45,69,52,45,69,70,65,56,72,63,71,62,53,69,61,52,47,37,69,72,44,61,63,59,56,6,10,10,6,13
Mollejo,Atlético de Madrid,"LM, RM",Spain,69,82,3300000,12000,19,Spain Primera Division,Left,High/High,Normal (170-185),5400000,69,68,50,67,47,67,66,46,63,69,77,72,72,65,78,62,68,75,61,61,60,35,69,60,53,61,24,44,47,14,12,10,6,9
