Name,Team,Position,Nationality,Overall,Potential,Value,Wage,Age,league_name,preferred_foot,Work rate,Bofy type,Release cluase,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
A. Tuia,Benevento,CB,Italy,67,67,825000,6000,30,Italian Serie A,Right,Low/High,Lean (170-185),1100000,36,22,69,57,30,32,36,40,45,53,63,58,62,62,57,57,82,67,81,40,62,65,25,46,29,60,65,70,68,5,15,12,10,11
Ibañez,Roma,CB,Brazil,68,78,2500000,5000,21,Italian Serie A,Right,Low/High,Normal (185+),2500000,34,27,70,60,29,35,32,35,36,57,63,53,50,60,58,45,64,60,67,25,65,68,32,34,46,51,65,74,77,12,7,10,6,12
F. Bradari?,Cagliari,"CM, CDM",Croatia,69,69,1400000,15000,28,Italian Serie A,Right,Low/Medium,Lean (185+),1800000,60,45,64,77,59,61,61,40,75,75,62,53,61,62,67,62,67,67,65,63,64,64,43,71,44,66,65,75,72,7,8,10,11,9
E. Vignato,Bologna,CAM,Italy,69,80,3000000,8000,19,Italian Serie A,Right,Medium/Low,Lean (170-185),3600000,65,61,51,73,59,71,69,61,71,74,74,69,72,61,70,59,53,65,42,63,39,30,63,68,55,60,43,37,35,9,12,15,14,6
F. Romagna,U.S. Sassuolo Calcio,CB,Italy,70,80,3300000,13000,23,Italian Serie A,Right,Low/High,Normal (185+),4900000,38,23,65,66,34,51,32,32,65,62,60,60,62,68,60,48,69,48,65,30,71,72,36,36,43,63,75,75,72,12,12,6,7,13
A. Ferrari,U.C. Sampdoria,"CB, RB",Italy,70,75,2100000,10000,26,Italian Serie A,Right,Low/High,Lean (185+),3900000,58,12,70,58,49,60,50,30,56,65,64,67,65,70,67,59,68,64,67,48,74,72,32,32,27,68,72,73,72,9,11,12,12,6
Léo Duarte,AC Milan,"CB, RB",Brazil,71,80,3900000,17000,23,Italian Serie A,Right,Low/High,Lean (170-185),6300000,32,28,66,45,30,47,30,27,32,53,55,54,62,72,62,54,87,65,71,27,77,73,37,30,48,73,74,76,73,10,13,9,8,13
A. ?ori?,Roma,"CAM, CM",Croatia,71,80,4200000,10000,23,Italian Serie A,Right,Medium/Low,Lean (170-185),6800000,71,64,37,72,56,72,67,71,66,74,75,61,81,70,83,68,55,70,48,71,41,34,68,73,58,68,49,38,35,15,10,14,14,7
Simy,Crotone,ST,Nigeria,71,71,1900000,10000,28,Italian Serie A,Right,Medium/Low,Lean (185+),4300000,28,78,81,56,78,58,45,34,37,57,53,63,69,74,36,74,32,63,90,66,79,21,78,45,64,70,20,28,22,16,10,11,10,15
M. Destro,Genoa,ST,Italy,71,71,1900000,13000,29,Italian Serie A,Right,Medium/Low,Normal (170-185),4300000,56,74,72,68,72,71,68,51,42,73,66,63,64,65,72,73,76,45,65,60,60,20,74,58,69,67,28,22,20,6,14,15,9,11
S. Iacoponi,Parma,"CB, RB",Italy,71,71,900000,18000,33,Italian Serie A,Right,Low/High,Normal (170-185),2000000,56,28,66,56,37,40,48,12,40,65,73,79,74,75,62,57,65,84,67,14,69,73,28,47,38,61,78,75,74,5,13,13,8,14
Rodrigo Becão,Udinese Calcio,CB,Brazil,72,79,4400000,10000,24,Italian Serie A,Right,Low/Medium,Normal (185+),7800000,48,30,74,69,24,36,45,27,65,57,51,58,48,70,47,42,71,57,73,32,74,70,28,39,31,64,76,75,73,5,9,6,6,12
K. Djidji,Torino F.C.,CB,Côte d'Ivoire,72,74,2500000,26000,27,Italian Serie A,Right,Low/High,Normal (170-185),5900000,46,26,69,66,26,62,28,32,64,64,62,61,61,70,63,48,76,63,70,28,73,74,35,42,41,74,74,75,75,15,7,7,8,9
S. Prödl,Udinese Calcio,CB,Austria,72,72,1100000,12000,33,Italian Serie A,Right,Low/High,Normal (185+),2700000,44,34,80,60,22,30,32,38,49,54,30,31,29,66,27,47,31,31,89,32,84,73,37,46,35,68,72,75,73,11,8,12,15,8
C. Romero,Atalanta,CB,Argentina,73,80,5500000,29000,22,Italian Serie A,Right,Low/High,Normal (185+),9500000,31,26,76,55,33,36,35,29,46,57,61,63,63,71,64,51,76,71,74,37,88,76,31,36,40,60,70,75,75,5,7,11,10,14
W. Troost-Ekong,Udinese Calcio,CB,Nigeria,73,76,3500000,13000,26,Italian Serie A,Right,Low/Medium,Normal (185+),8300000,37,23,76,54,26,37,25,26,52,50,58,67,34,67,59,53,69,64,84,33,76,75,30,41,40,69,76,76,73,6,15,10,9,7
L. Magallán,Crotone,CB,Argentina,73,75,3300000,12000,26,Italian Serie A,Right,Low/Medium,Normal (185+),,45,35,74,64,27,56,32,34,55,62,47,58,53,67,55,50,83,71,83,33,78,75,34,44,44,65,77,71,70,7,9,7,14,16
V. Eysseric,Fiorentina,"LW, CAM, CF",France,73,73,3100000,42000,28,Italian Serie A,Right,Medium/Low,Normal (170-185),6800000,77,67,52,77,68,76,76,76,76,77,66,66,74,68,69,74,54,53,62,74,58,35,74,74,70,70,60,34,26,9,13,10,11,8
G. Caprari,Benevento,"CF, ST",Italy,74,75,5000000,19000,26,Italian Serie A,Right,Medium/Low,Normal (170-185),,66,68,47,74,66,81,74,75,62,79,89,80,91,69,89,68,34,65,51,70,30,16,69,72,56,69,22,13,12,9,8,14,6,11
L. Tonelli,U.C. Sampdoria,CB,Italy,74,74,3500000,16000,30,Italian Serie A,Right,Low/High,Normal (170-185),8300000,40,25,74,54,33,54,38,17,54,58,63,55,67,71,77,52,77,49,68,25,85,77,23,30,35,73,78,80,78,13,11,13,11,6
I. Radovanovi?,Genoa,"CDM, CM",Serbia,74,74,3000000,14000,31,Italian Serie A,Right,Low/High,Lean (185+),7700000,62,40,72,74,56,65,65,58,72,71,47,57,56,71,57,83,71,64,79,77,79,79,61,73,58,73,68,75,68,5,6,6,5,5
A. Ranocchia,Inter,CB,Italy,74,74,2700000,60000,32,Italian Serie A,Right,Low/Medium,Lean (185+),5900000,45,22,77,67,24,58,30,34,65,67,31,33,39,65,31,59,66,51,74,31,68,79,32,56,34,69,75,80,76,12,15,11,12,15
C. Zapata,Genoa,CB,Colombia,74,74,2000000,14000,33,Italian Serie A,Right,Low/Medium,Normal (185+),4900000,45,22,74,50,22,55,38,24,58,55,50,55,56,64,56,60,80,43,81,28,78,77,35,38,38,68,81,76,74,3,5,3,5,3
Danilo,Bologna,CB,Brazil,74,74,750000,18000,36,Italian Serie A,Right,Low/Medium,Normal (185+),2000000,30,24,71,60,22,46,34,30,66,60,45,42,45,70,60,68,74,33,67,48,76,83,25,42,48,75,81,80,75,11,8,11,5,6
K. Glik,Benevento,CB,Poland,75,75,3600000,16000,32,Italian Serie A,Right,Low/High,Normal (185+),7700000,29,27,79,63,17,49,35,26,63,58,34,37,32,71,50,57,75,62,86,20,85,73,24,23,39,75,73,75,75,10,14,5,8,10
F. Fazio,Roma,CB,Argentina,77,77,5000000,17000,33,Italian Serie A,Right,Low/Medium,Normal (185+),7100000,44,41,86,64,35,44,40,37,60,70,33,33,31,70,32,58,41,63,83,26,80,80,32,47,26,79,81,82,77,8,9,12,11,14
D. Rugani,Juventus,CB,Italy,80,83,25000000,71000,25,Italian Serie A,Right,Low/Medium,Lean (185+),28500000,40,33,82,69,35,64,45,25,65,65,58,63,60,78,55,58,83,62,76,39,72,86,28,50,36,70,86,83,80,5,10,5,5,5
S. Kjær,AC Milan,CB,Denmark,80,80,14500000,43000,31,Italian Serie A,Right,Low/High,Normal (185+),18700000,50,55,81,78,37,46,52,69,69,70,61,61,48,75,53,78,73,65,77,41,82,82,31,49,61,69,81,82,78,6,10,13,10,15
K. Manolas,Napoli,CB,Greece,83,84,33500000,84000,29,Italian Serie A,Right,Low/High,Normal (185+),43500000,27,25,80,60,16,54,30,10,61,65,80,83,67,81,60,40,86,69,81,12,86,86,25,22,26,83,85,85,87,8,6,8,15,12
Z. Ibrahimovi?,AC Milan,ST,Sweden,83,83,12500000,49000,38,Italian Serie A,Right,Medium/Low,Unique,16200000,68,86,80,78,88,80,80,78,73,86,53,52,71,82,39,90,67,54,87,88,84,20,91,84,89,90,28,37,24,13,15,10,9,12
C. Dalle Mura,Fiorentina,CB,Italy,60,76,600000,2000,18,Italian Serie A,Left,Low/Medium,Lean (170-185),930000,41,25,68,50,30,35,30,34,37,39,63,56,47,58,66,42,75,61,53,31,49,64,28,40,28,48,54,68,64,5,14,13,6,11
N. Paz,Bologna,"CB, LB",Argentina,68,70,1200000,12000,28,Italian Serie A,Left,Low/Medium,Normal (185+),1700000,58,30,70,56,29,56,48,36,54,58,44,49,35,68,32,60,33,60,91,46,60,68,49,39,42,57,70,71,69,13,13,10,8,7
V. Regini,U.C. Sampdoria,"CB, LB",Italy,68,68,1000000,8000,29,Italian Serie A,Left,Low/High,Lean (185+),1400000,63,32,63,63,25,56,44,33,60,63,63,57,63,71,59,66,65,59,69,27,68,72,46,30,43,60,68,72,70,8,8,11,14,10
G. Magnani,Hellas Verona,CB,Italy,69,76,2600000,11000,24,Italian Serie A,Left,Low/High,Lean (185+),,40,33,73,54,35,40,30,30,55,60,51,54,54,61,52,52,71,60,72,25,65,63,21,34,38,60,75,73,73,13,10,10,5,7
L. Siligardi,Parma,"RW, LW",Italy,70,70,1300000,18000,32,Italian Serie A,Left,Medium/Low,Lean (170-185),2500000,70,61,46,72,70,74,73,68,69,75,73,71,77,62,88,74,33,62,61,72,39,23,64,67,61,65,54,29,27,15,5,14,14,8
S. Luperto,Napoli,CB,Italy,71,79,3900000,26000,23,Italian Serie A,Left,Low/Medium,Lean (185+),6100000,65,45,71,67,45,56,47,42,58,63,50,48,56,70,61,72,69,64,70,68,69,72,52,51,44,62,73,76,74,12,6,12,11,6
A. Halilovi?,AC Milan,"CAM, RM",Croatia,71,77,3000000,19000,24,Italian Serie A,Left,Medium/Low,Lean (170-),6100000,71,57,24,73,64,75,80,69,69,77,74,71,76,68,84,63,54,60,32,68,40,44,68,72,66,70,50,36,28,15,11,11,13,10
A. Olsen,Bologna,"RW, ST, CAM",Denmark,72,83,5000000,18000,20,Italian Serie A,Left,Medium/Low,Normal (185+),11000000,65,72,64,68,59,75,70,62,60,74,83,82,70,64,74,74,69,65,67,71,62,24,74,65,68,68,36,34,24,13,8,7,7,11
B. Nuytinck,Udinese Calcio,CB,Netherlands,72,72,1900000,12000,30,Italian Serie A,Left,Low/Medium,Normal (185+),4500000,30,32,70,58,40,50,46,34,62,58,32,34,35,68,38,62,60,51,75,36,74,76,28,44,46,69,78,78,72,7,6,10,12,9
G. Pandev,Genoa,"ST, RW",North Macedonia,72,72,800000,11000,36,Italian Serie A,Left,Medium/Low,Normal (170-185),2000000,69,73,68,75,78,82,80,69,65,82,54,36,61,73,72,74,70,32,56,74,52,39,78,71,68,70,23,40,35,10,14,10,6,15
A. Ounas,Napoli,"RW, LW, CF",Algeria,74,78,6000000,44000,23,Italian Serie A,Left,Medium/Low,Lean (170-185),13300000,68,64,51,75,66,80,72,62,65,78,87,82,89,62,80,70,61,72,55,69,79,47,69,74,60,65,28,54,47,8,6,8,7,12
Juan Jesus,Roma,"CB, LB",Brazil,74,74,3500000,15000,29,Italian Serie A,Left,Low/High,Normal (185+),8000000,60,20,74,58,17,58,44,36,56,55,72,73,65,73,58,62,83,69,73,35,80,76,35,34,37,73,76,77,75,12,11,7,8,14
G. Pereiro,Cagliari,"CAM, RW",Uruguay,75,79,8000000,28000,25,Italian Serie A,Left,Medium/Low,Normal (185+),15900000,69,72,74,72,69,80,76,75,70,83,67,72,72,71,56,81,69,64,73,77,57,36,72,77,72,74,38,36,32,7,15,10,10,12
M. Gabbiadini,U.C. Sampdoria,ST,Italy,75,75,6000000,21000,28,Italian Serie A,Left,Medium/Low,Normal (170-185),12600000,70,79,66,72,72,77,78,77,64,79,68,66,67,74,56,82,74,56,66,77,57,18,79,72,72,71,21,24,20,12,11,11,5,5
J. Palomino,Atalanta,CB,Argentina,76,76,6000000,42000,30,Italian Serie A,Left,Low/Medium,Normal (185+),10200000,60,26,77,66,32,56,55,36,60,64,57,43,46,78,45,48,34,73,90,29,78,81,28,30,44,68,77,78,78,9,16,9,8,11
G. Ramírez,U.C. Sampdoria,CAM,Uruguay,77,77,10500000,22000,29,Italian Serie A,Left,Medium/Low,Lean (170-185),15300000,74,74,57,80,71,80,79,79,77,81,64,59,77,74,73,76,64,57,51,76,69,32,74,79,73,76,30,45,39,14,15,7,7,8
G. Borello,Crotone,RW,Italy,58,72,500000,2000,21,Italian Serie A,Left,High/Low,Lean (170-),667000,62,50,42,59,56,68,57,47,42,67,60,54,59,44,95,64,49,44,33,46,35,18,50,60,62,49,15,33,32,14,12,14,11,9
S. Edera,Torino F.C.,"RW, CF, CAM",Italy,66,75,1900000,11000,23,Italian Serie A,Left,High/Low,Lean (170-185),1900000,64,64,52,65,62,74,69,55,58,72,63,61,67,60,74,69,45,37,32,70,39,18,62,65,60,56,56,32,34,10,11,14,9,14
L. Clemenza,Juventus,"CAM, CM",Italy,66,73,1700000,15000,22,Italian Serie A,Left,High/Low,Lean (170-185),1700000,66,55,43,72,59,76,75,75,63,75,68,63,68,56,69,64,40,65,32,50,34,20,56,62,64,62,44,28,28,3,2,4,5,4
R. Insigne,Benevento,"CF, RM, RW",Italy,69,71,1700000,9000,26,Italian Serie A,Left,High/Low,Lean (170-185),2400000,71,64,66,72,63,72,66,67,70,71,80,84,81,65,81,59,51,57,34,64,28,18,67,70,59,69,27,23,22,9,9,13,9,12
G. Lapadula,Benevento,ST,Italy,71,71,1800000,13000,30,Italian Serie A,Left,High/Low,Normal (170-185),4100000,50,74,72,64,74,72,68,69,34,72,72,72,78,70,78,70,77,63,52,58,78,19,75,61,71,70,21,15,18,9,15,15,11,12
J. Mojica,Atalanta,"LB, LM",Colombia,75,75,5500000,10000,27,Italian Serie A,Left,High/Low,Lean (185+),,75,62,55,73,43,73,74,68,69,74,90,90,73,69,61,80,75,71,71,61,75,71,69,65,67,70,66,73,74,13,8,14,9,15
A. Cornelius,Parma,ST,Denmark,75,76,6500000,48000,27,Italian Serie A,Left,High/Low,Normal (185+),,42,77,80,71,68,66,45,56,51,74,61,61,49,71,62,79,74,64,93,68,74,28,77,59,65,72,54,26,12,15,9,8,11,9
S. Verdi,Torino F.C.,"CF, CAM, LW",Italy,77,77,11500000,46000,27,Italian Serie A,Left,High/Low,Normal (170-185),16200000,78,68,42,78,74,81,84,84,76,83,84,80,89,75,90,80,50,66,43,75,48,36,77,78,76,78,55,48,54,12,10,7,15,9
Iago Falqué,Torino F.C.,"CF, ST, RW",Spain,77,77,10500000,46000,30,Italian Serie A,Left,High/Low,Normal (170-),14500000,76,72,53,81,69,81,80,75,72,82,75,69,82,74,85,70,34,61,50,75,48,26,78,77,77,76,54,36,32,15,5,14,13,7
S. Coly,Roma,ST,Senegal,57,67,375000,3000,22,Italian Serie A,Right,High/Low,Lean (170-185),323000,35,57,60,42,40,59,42,33,33,49,68,70,62,52,55,60,71,57,59,48,32,16,58,47,63,47,28,18,18,9,12,10,5,7
F. D'Amico,U.C. Sampdoria,LW,Italy,61,78,850000,2000,19,Italian Serie A,Right,High/Low,Lean (170-185),1300000,62,62,45,58,51,64,53,49,46,65,69,69,67,43,68,63,47,47,47,59,39,24,60,55,57,49,25,32,28,13,11,6,8,13
D. Ragatzu,Cagliari,"ST, LW, RW",Italy,62,62,400000,6000,28,Italian Serie A,Right,High/Low,Normal (170-185),585000,47,54,62,59,55,66,72,68,41,65,83,68,85,65,81,64,48,70,33,68,43,23,67,48,64,64,50,14,14,5,13,11,15,5
E. Colley,Atalanta,ST,Gambia,63,74,1100000,8000,20,Italian Serie A,Right,High/Low,Lean (170-185),1200000,35,71,60,55,46,66,43,37,35,63,73,66,53,54,62,64,63,49,54,65,37,18,58,54,70,57,18,14,17,6,7,6,12,5
M. Bahlouli,U.C. Sampdoria,"LW, CAM",France,63,78,1200000,3000,20,Italian Serie A,Right,High/Low,Lean (170-185),1900000,61,62,37,60,57,74,57,60,58,67,68,66,64,43,72,65,44,34,49,60,35,27,54,60,62,53,26,36,33,10,7,9,11,11
G. Raspadori,U.S. Sassuolo Calcio,ST,Italy,64,79,1400000,6000,20,Italian Serie A,Right,High/Low,Normal (170-185),2300000,43,71,68,58,52,66,46,43,36,64,59,59,52,60,79,65,60,48,45,67,35,18,64,54,73,49,21,23,21,13,14,7,7,9
N. Pierini,U.S. Sassuolo Calcio,"LW, CAM, ST",Italy,64,75,1300000,6000,21,Italian Serie A,Right,High/Low,Normal (170-185),1500000,63,59,54,62,55,66,63,64,53,65,73,74,70,61,66,54,57,41,48,61,51,33,60,57,62,60,22,39,38,11,5,7,8,10
P. Mi?in,Udinese Calcio,"RW, ST, LW",Serbia,65,78,1800000,4000,21,Italian Serie A,Right,High/Low,Lean (185+),2400000,61,67,55,62,58,71,60,57,55,72,63,63,61,59,53,60,54,47,60,69,41,31,59,65,60,60,35,31,29,13,9,11,5,9
V. Parigini,Genoa,"LW, CF",Italy,68,74,1900000,7000,24,Italian Serie A,Right,High/Low,Normal (170-185),2400000,63,69,56,65,65,73,61,47,43,75,74,71,76,64,70,65,77,55,54,62,47,20,68,37,54,73,29,18,11,12,11,6,10,6
P. Iemmello,Benevento,ST,Italy,70,70,1600000,12000,28,Italian Serie A,Right,High/Low,Lean (170-185),3200000,56,74,62,64,64,67,64,58,52,72,77,81,75,67,73,68,69,80,71,61,30,20,76,57,75,69,21,15,14,12,10,6,12,11
M. Mustacchio,Crotone,"RM, ST, RW",Italy,70,70,1300000,8000,31,Italian Serie A,Right,High/Low,Normal (170-185),2900000,63,62,61,66,61,74,65,57,54,66,91,90,83,63,73,66,71,78,62,61,46,36,64,56,65,61,52,28,35,5,11,23,7,21
G. Tutino,Napoli,"ST, LW",Italy,72,78,3700000,36000,23,Italian Serie A,Right,High/Low,Normal (170-185),8200000,70,70,65,72,72,76,72,71,68,75,77,77,76,74,73,75,73,68,66,71,52,25,72,72,75,59,34,34,34,15,7,7,13,7
M. Damsgaard,U.C. Sampdoria,LW,Denmark,73,83,6500000,11000,19,Italian Serie A,Right,High/Low,Lean (170-185),13000000,63,68,51,74,48,77,66,69,70,76,81,81,80,67,86,71,69,75,58,72,64,45,71,75,47,74,52,46,40,6,10,14,11,7
S. Di Carmine,Hellas Verona,ST,Italy,73,73,2600000,23000,31,Italian Serie A,Right,High/Low,Normal (185+),6500000,45,75,72,62,66,73,66,62,42,72,70,64,79,70,61,79,69,65,85,65,67,42,75,49,75,75,42,21,17,16,14,16,11,13
Rafael Leão,AC Milan,ST,Portugal,74,83,9500000,26000,21,Italian Serie A,Right,High/Low,Lean (185+),17100000,62,76,58,67,65,82,72,58,52,79,88,85,74,73,59,77,62,65,76,62,59,21,74,69,63,76,25,24,21,10,12,15,11,9
L. Pavoletti,Cagliari,ST,Italy,75,75,4800000,32000,31,Italian Serie A,Right,High/Low,Normal (185+),10800000,33,80,93,68,80,66,49,28,36,74,54,50,58,74,57,78,86,54,77,56,69,24,83,56,67,73,49,21,17,15,6,12,14,9
F. ?uri?i?,U.S. Sassuolo Calcio,"CAM, LW",Serbia,75,75,5500000,30000,28,Italian Serie A,Right,High/Low,Lean (170-185),11100000,65,64,48,76,69,77,76,69,71,78,74,72,77,75,77,70,71,51,59,71,45,42,70,77,69,71,45,35,43,8,8,9,15,8
J. Boga,U.S. Sassuolo Calcio,"LM, LW",Côte d'Ivoire,77,86,23500000,29000,23,Italian Serie A,Right,High/Low,Normal (170-185),25700000,78,72,59,73,60,84,78,64,69,81,88,81,86,67,82,80,61,68,63,75,56,41,72,68,55,73,24,42,34,15,8,9,14,16
R. De Paul,Udinese Calcio,"CM, CF",Argentina,77,79,13000000,19000,26,Italian Serie A,Right,High/Low,Normal (170-185),19700000,77,74,50,80,64,84,80,68,77,84,78,72,77,77,73,79,57,74,62,80,58,56,76,80,70,78,46,59,48,13,12,10,7,14
Bruno Peres,Roma,"RB, RM",Brazil,77,77,9000000,17000,30,Italian Serie A,Right,High/Low,Lean (170-185),11900000,74,53,60,73,71,76,69,59,66,78,84,92,81,64,81,80,68,85,67,70,65,70,70,63,70,70,70,73,74,7,11,14,8,7
J. Pastore,Roma,"CAM, CM",Argentina,77,77,8500000,19000,31,Italian Serie A,Right,High/Low,Lean (185+),13600000,73,70,61,82,78,78,79,69,74,82,55,59,75,69,63,78,48,49,56,74,62,64,74,80,73,78,45,51,51,14,9,6,10,12
Gervinho,Parma,"LW, RW",Côte d'Ivoire,78,78,9000000,38000,33,Italian Serie A,Right,High/Low,Lean (170-185),11700000,75,72,63,73,70,80,69,43,67,78,91,90,88,76,76,69,59,73,52,64,51,39,78,74,63,72,35,29,15,14,5,12,10,13
F. Caputo,U.S. Sassuolo Calcio,ST,Italy,79,79,14000000,42000,32,Italian Serie A,Right,High/Low,Lean (170-185),17000000,50,82,75,68,80,77,58,54,58,76,82,83,83,82,78,77,84,67,71,71,50,14,84,65,77,72,40,20,15,14,7,10,11,11
H. Lozano,Napoli,"RW, ST, LW",Mexico,80,83,29000000,66000,24,Italian Serie A,Right,High/Low,Lean (170-185),33700000,73,75,58,73,74,81,72,65,65,80,93,93,90,79,76,76,67,76,57,73,64,45,78,72,73,74,42,35,29,11,10,14,14,10
D. Mertens,Napoli,"CF, ST",Belgium,85,85,34500000,115000,33,Italian Serie A,Right,High/Low,Unique,40800000,79,84,40,82,70,88,82,79,74,89,90,82,94,86,92,80,58,70,37,81,59,36,85,83,79,81,25,40,40,7,10,8,10,4
Cristiano Ronaldo,Juventus,"ST, LW",Portugal,92,92,63000000,220000,35,Italian Serie A,Right,High/Low,Unique,75900000,84,95,90,82,86,88,81,76,77,92,87,91,87,95,71,94,95,84,78,93,63,29,95,82,84,95,28,32,24,7,11,15,14,11
Salva,Spezia,"RB, CB",Spain,67,77,2200000,5000,22,Italian Serie A,Right,High/High,Normal (170-185),2200000,65,25,63,59,38,58,57,35,52,63,69,70,66,61,66,50,67,70,72,33,66,65,50,51,48,56,66,66,65,7,10,11,13,11
P. Dawidowicz,Hellas Verona,CB,Poland,68,74,1700000,9000,25,Italian Serie A,Right,High/High,Normal (185+),2200000,44,36,65,68,38,60,53,52,66,58,58,59,67,68,62,71,62,69,76,45,76,70,46,66,44,62,68,68,62,7,11,8,11,13
M. Thorsby,U.C. Sampdoria,"CM, CAM",Norway,69,75,2200000,8000,24,Italian Serie A,Right,High/High,Normal (185+),2800000,62,58,84,70,51,64,51,48,68,65,61,62,65,72,68,65,82,91,71,58,78,70,72,64,49,70,65,71,62,13,14,10,7,13
R. Improta,Benevento,"LM, LW",Italy,69,70,1600000,9000,26,Italian Serie A,Right,High/High,Lean (170-185),2300000,65,70,43,70,53,72,61,30,64,70,80,82,90,65,80,47,48,56,51,46,25,35,66,53,49,66,17,15,15,11,8,7,14,12
A. Tello,Benevento,"CM, LM",Colombia,70,77,3200000,9000,23,Italian Serie A,Right,High/High,Normal (170-185),5000000,69,55,61,75,70,75,66,52,69,75,87,86,80,71,66,59,75,87,83,61,71,67,66,62,51,65,56,64,58,9,12,15,7,9
J. Akpa Akpro,Lazio,CM,Côte d'Ivoire,71,72,2100000,31000,27,Italian Serie A,Right,High/High,Lean (170-185),4800000,72,65,65,74,68,71,66,56,67,70,77,82,78,70,72,72,72,84,61,69,80,70,69,67,56,70,66,70,69,7,10,9,9,8
