Column1,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,short_name,Name,Team,Nationality,Position.1,Overall,Potential,Value,Wage,preferred_foot,Work Rate,Body Type,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Fk accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
25,ACF Fiorentina,Germán Pezzella,30,Centre-Back,Real Betis,€3.50m,out,Summer,3.5,Serie A,2021,2021/2022,Italy,G. Pezzella,G. Pezzella,Fiorentina,Argentina,CB,78,78,12000000,50000,Right,Medium/Medium,Normal (185+),40,48,82,64,40,54,46,25,56,66,55,53,33,77,48,54,82,57,78,50,82,80,47,22,35,78,82,78,7,9,13,10,15
27,Granada CF,Dimitri Foulquier,28,Right-Back,Valencia,€2.50m,out,Summer,2.5,Primera Division,2021,2021/2022,Spain,D. Foulquier,D. Foulquier,Granada CF,France,"RM, RB",75,75,6000000,24000,Right,Medium/Medium,Lean (170-185),74,63,67,76,45,76,58,40,70,74,75,76,68,76,65,74,73,80,80,56,70,72,73,66,49,72,76,75,11,7,6,10,14
28,Valencia CF,Dimitri Foulquier,28,Right-Back,Granada CF,€2.50m,in,Summer,2.5,Primera Division,2021,2021/2022,Spain,D. Foulquier,D. Foulquier,Granada CF,France,"RM, RB",75,75,6000000,24000,Right,Medium/Medium,Lean (170-185),74,63,67,76,45,76,58,40,70,74,75,76,68,76,65,74,73,80,80,56,70,72,73,66,49,72,76,75,11,7,6,10,14
30,Cádiz CF,Jeremías Ledesma,28,Goalkeeper,Rosario Central,€1.80m,in,Summer,1.8,Primera Division,2021,2021/2022,Spain,J. Ledesma,J. Ledesma,Cádiz CF,Argentina,GK,74,77,4100000,12000,Right,Medium/Medium,Stocky (185+),15,13,15,31,14,15,16,13,22,11,49,42,40,72,50,48,67,40,60,20,23,20,13,36,22,13,13,12,75,71,64,73,75
31,RCD Espanyol Barcelona,Sergi Gómez,29,Centre-Back,Sevilla FC,€1.00m,in,Summer,1,Primera Division,2021,2021/2022,Spain,S. Gomez,Sergi Gómez,Sevilla FC,Spain,CB,77,78,10000000,26000,Right,Medium/Medium,Normal (185+),45,35,77,77,37,57,49,46,74,70,63,61,57,73,52,45,80,67,77,44,73,77,52,59,41,79,80,76,15,16,11,11,7
33,Sevilla FC,Sergi Gómez,29,Centre-Back,Espanyol,€1.00m,out,Summer,1,Primera Division,2021,2021/2022,Spain,S. Gomez,Sergi Gómez,Sevilla FC,Spain,CB,77,78,10000000,26000,Right,Medium/Medium,Normal (185+),45,35,77,77,37,57,49,46,74,70,63,61,57,73,52,45,80,67,77,44,73,77,52,59,41,79,80,76,15,16,11,11,7
35,Borussia Dortmund,Sergio Gómez,20,Left-Back,RSC Anderlecht,€2.25m,out,Summer,2.25,1 Bundesliga,2021,2021/2022,Germany,S. Gomez,Sergi Gómez,Sevilla FC,Spain,CB,77,78,10000000,26000,Right,Medium/Medium,Normal (185+),45,35,77,77,37,57,49,46,74,70,63,61,57,73,52,45,80,67,77,44,73,77,52,59,41,79,80,76,15,16,11,11,7
39,Getafe CF,Stefan Mitrovi?,31,Centre-Back,R. Strasbourg,€1.00m,in,Summer,1,Primera Division,2021,2021/2022,Spain,S. Mitrovi?,S. Mitrovi?,RC Strasbourg Alsace,Serbia,CB,74,74,3500000,23000,Right,Low/Medium,Normal (185+),38,22,76,63,28,51,29,33,57,61,33,34,39,72,39,59,70,70,83,38,82,73,31,43,35,75,76,73,9,8,8,15,16
40,RC Strasbourg Alsace,Stefan Mitrovi?,31,Centre-Back,Getafe,€1.00m,out,Summer,1,Ligue 1,2021,2021/2022,France,S. Mitrovi?,S. Mitrovi?,RC Strasbourg Alsace,Serbia,CB,74,74,3500000,23000,Right,Low/Medium,Normal (185+),38,22,76,63,28,51,29,33,57,61,33,34,39,72,39,59,70,70,83,38,82,73,31,43,35,75,76,73,9,8,8,15,16
41,Getafe CF,Amath Ndiaye,24,Left Winger,RCD Mallorca,€3.00m,out,Summer,3,Primera Division,2021,2021/2022,Spain,A. Ndiaye,A. Ndiaye,Getafe CF,Senegal,LM,76,82,12000000,23000,Right,High/Medium,Lean (170-185),66,75,65,69,72,83,69,65,61,76,93,92,82,68,74,76,78,65,65,60,75,41,74,67,49,41,52,35,6,7,14,8,9
42,RCD Mallorca,Amath Ndiaye,24,Left Winger,Getafe,€3.00m,in,Summer,3,Primera Division,2021,2021/2022,Spain,A. Ndiaye,A. Ndiaye,Getafe CF,Senegal,LM,76,82,12000000,23000,Right,High/Medium,Lean (170-185),66,75,65,69,72,83,69,65,61,76,93,92,82,68,74,76,78,65,65,60,75,41,74,67,49,41,52,35,6,7,14,8,9
49,Atlético de Madrid,Matheus Cunha,22,Centre-Forward,Hertha BSC,€26.00m,in,Summer,26,Primera Division,2021,2021/2022,Spain,M. Cunha,Matheus Cunha,Hertha BSC,Brazil,"CAM, ST, LM",78,87,31500000,34000,Right,High/Low,Lean (170-185),75,82,64,74,75,85,77,60,65,83,78,79,83,79,78,78,74,75,68,79,69,20,78,72,70,32,28,35,8,7,13,13,11
50,Hertha BSC,Matheus Cunha,22,Centre-Forward,Atlético Madrid,€26.00m,out,Summer,26,1 Bundesliga,2021,2021/2022,Germany,M. Cunha,Matheus Cunha,Hertha BSC,Brazil,"CAM, ST, LM",78,87,31500000,34000,Right,High/Low,Lean (170-185),75,82,64,74,75,85,77,60,65,83,78,79,83,79,78,78,74,75,68,79,69,20,78,72,70,32,28,35,8,7,13,13,11
51,Sevilla FC,Rafa Mir,24,Centre-Forward,Wolves,€16.00m,in,Summer,16,Primera Division,2021,2021/2022,Spain,R. Mir,Rafa Mir,SD Huesca,Spain,"ST, LM, RM",70,77,3200000,35000,Right,High/Low,Normal (185+),67,72,77,64,69,67,57,59,52,70,70,74,64,65,62,72,78,67,73,65,51,39,67,59,74,42,41,35,12,11,15,10,6
52,Wolverhampton Wanderers,Rafa Mir,24,Centre-Forward,Sevilla FC,€16.00m,out,Summer,16,Premier League,2021,2021/2022,England,R. Mir,Rafa Mir,SD Huesca,Spain,"ST, LM, RM",70,77,3200000,35000,Right,High/Low,Normal (185+),67,72,77,64,69,67,57,59,52,70,70,74,64,65,62,72,78,67,73,65,51,39,67,59,74,42,41,35,12,11,15,10,6
53,Villarreal CF,Boulaye Dia,24,Centre-Forward,Stade Reims,€12.00m,in,Summer,12,Primera Division,2021,2021/2022,Spain,B. Dia,B. Dia,Stade de Reims,France,ST,73,80,6000000,20000,Right,Medium/High,Normal (170-185),36,76,69,65,64,75,48,42,41,73,74,78,65,68,61,76,70,71,80,65,59,22,74,56,67,28,17,14,11,10,15,14,10
54,Stade Reims,Boulaye Dia,24,Centre-Forward,Villarreal,€12.00m,out,Summer,12,Ligue 1,2021,2021/2022,France,B. Dia,B. Dia,Stade de Reims,France,ST,73,80,6000000,20000,Right,Medium/High,Normal (170-185),36,76,69,65,64,75,48,42,41,73,74,78,65,68,61,76,70,71,80,65,59,22,74,56,67,28,17,14,11,10,15,14,10
55,Valencia CF,Marcos André,24,Centre-Forward,Real Valladolid,€8.50m,in,Summer,8.5,Primera Division,2021,2021/2022,Spain,M. Andre,Marcos André,Real Valladolid CF,Brazil,ST,69,77,3100000,9000,Right,High/Medium,Normal (170-185),43,71,68,63,64,68,42,40,57,66,72,74,70,62,68,76,76,58,72,65,65,21,66,43,61,15,21,20,6,14,11,8,12
56,Elche CF,Lucas Boyé,25,Centre-Forward,Torino,€3.00m,in,Summer,3,Primera Division,2021,2021/2022,Spain,L. Boye,L. Boyé,Elche CF,Argentina,"LW, ST, CAM",69,74,2100000,18000,Right,High/High,Stocky (170-185),60,63,69,63,65,80,65,36,57,77,74,74,72,65,66,70,56,66,82,61,78,30,63,64,66,50,45,38,14,7,11,15,7
57,Torino FC,Lucas Boyé,25,Centre-Forward,Elche CF,€3.00m,out,Summer,3,Serie A,2021,2021/2022,Italy,L. Boye,L. Boyé,Elche CF,Argentina,"LW, ST, CAM",69,74,2100000,18000,Right,High/High,Stocky (170-185),60,63,69,63,65,80,65,36,57,77,74,74,72,65,66,70,56,66,82,61,78,30,63,64,66,50,45,38,14,7,11,15,7
60,Montpellier HSC,Andy Delort,29,Centre-Forward,OGC Nice,€10.00m,out,Summer,10,Ligue 1,2021,2021/2022,France,A. Delort,A. Delort,Montpellier Hérault SC,Algeria,ST,79,79,18000000,43000,Right,High/High,Stocky (170-185),71,80,76,74,77,76,41,71,63,74,80,87,71,73,74,89,81,78,84,74,79,23,79,72,75,31,29,24,10,14,10,8,11
61,OGC Nice,Andy Delort,29,Centre-Forward,Montpellier,€10.00m,in,Summer,10,Ligue 1,2021,2021/2022,France,A. Delort,A. Delort,Montpellier Hérault SC,Algeria,ST,79,79,18000000,43000,Right,High/High,Stocky (170-185),71,80,76,74,77,76,41,71,63,74,80,87,71,73,74,89,81,78,84,74,79,23,79,72,75,31,29,24,10,14,10,8,11
62,FC Metz,Thierry Ambrose,24,Centre-Forward,KV Oostende,€500Th.,out,Summer,0.5,Ligue 1,2021,2021/2022,France,T. Ambrose,T. Ambrose,FC Metz,France,"LW, LM",68,76,2700000,8000,Right,High/Medium,Stocky (170-185),66,66,66,65,50,71,49,36,54,70,77,82,72,58,75,74,90,69,76,56,34,20,67,55,71,30,21,29,9,11,16,11,7
63,LOSC Lille,Adama Soumaoro,29,Centre-Back,Bologna,€2.50m,out,Summer,2.5,Ligue 1,2021,2021/2022,France,A. Soumaoro,A. Soumaoro,LOSC Lille,France,CB,76,77,7000000,31000,Right,Medium/Medium,Stocky (185+),57,31,78,73,35,47,31,36,56,61,55,60,53,66,65,48,84,61,90,42,81,74,34,32,40,75,77,76,6,10,8,16,14
64,Bologna FC 1909,Adama Soumaoro,29,Centre-Back,LOSC Lille,€2.50m,in,Summer,2.5,Serie A,2021,2021/2022,Italy,A. Soumaoro,A. Soumaoro,LOSC Lille,France,CB,76,77,7000000,31000,Right,Medium/Medium,Stocky (185+),57,31,78,73,35,47,31,36,56,61,55,60,53,66,65,48,84,61,90,42,81,74,34,32,40,75,77,76,6,10,8,16,14
65,Olympique Lyon,Joachim Andersen,25,Centre-Back,Crystal Palace,€17.50m,out,Summer,17.5,Ligue 1,2021,2021/2022,France,J. Andersen,J. Andersen,Olympique Lyonnais,Denmark,CB,76,82,11000000,41000,Right,Medium/Medium,Normal (185+),36,40,76,78,33,51,49,36,80,65,55,60,48,73,57,73,78,69,82,43,74,77,34,61,44,77,78,76,13,7,9,15,14
66,Crystal Palace,Joachim Andersen,25,Centre-Back,Olympique Lyon,€17.50m,in,Summer,17.5,Premier League,2021,2021/2022,England,J. Andersen,J. Andersen,Olympique Lyonnais,Denmark,CB,76,82,11000000,41000,Right,Medium/Medium,Normal (185+),36,40,76,78,33,51,49,36,80,65,55,60,48,73,57,73,78,69,82,43,74,77,34,61,44,77,78,76,13,7,9,15,14
67,Olympique Marseille,Leonardo Balerdi,22,Centre-Back,Bor. Dortmund,€11.00m,in,Summer,11,Ligue 1,2021,2021/2022,France,L. Balerdi,L. Balerdi,Olympique de Marseille,Argentina,"CB, CDM",68,81,2800000,12000,Right,Medium/Medium,Normal (185+),36,26,64,68,29,53,35,30,62,64,68,75,66,67,58,45,73,64,74,20,59,67,33,43,40,69,70,66,6,8,15,15,14
68,Borussia Dortmund,Leonardo Balerdi,22,Centre-Back,Marseille,€11.00m,out,Summer,11,1 Bundesliga,2021,2021/2022,Germany,L. Balerdi,L. Balerdi,Olympique de Marseille,Argentina,"CB, CDM",68,81,2800000,12000,Right,Medium/Medium,Normal (185+),36,26,64,68,29,53,35,30,62,64,68,75,66,67,58,45,73,64,74,20,59,67,33,43,40,69,70,66,6,8,15,15,14
69,Stade Rennais FC,Loïc Badé,21,Centre-Back,Lens,€17.00m,in,Summer,17,Ligue 1,2021,2021/2022,France,L. Bade,L. Badé,Racing Club de Lens,France,CB,62,75,900000,5000,Right,Low/High,Normal (185+),31,25,60,59,24,36,28,23,48,56,61,59,52,51,45,42,71,67,69,25,63,59,26,29,33,63,63,63,7,6,14,7,7
70,RC Lens,Loïc Badé,21,Centre-Back,Stade Rennais,€17.00m,out,Summer,17,Ligue 1,2021,2021/2022,France,L. Bade,L. Badé,Racing Club de Lens,France,CB,62,75,900000,5000,Right,Low/High,Normal (185+),31,25,60,59,24,36,28,23,48,56,61,59,52,51,45,42,71,67,69,25,63,59,26,29,33,63,63,63,7,6,14,7,7
71,Stade Rennais FC,Gerzino Nyamsi,24,Centre-Back,R. Strasbourg,€1.50m,out,Summer,1.5,Ligue 1,2021,2021/2022,France,G. Nyamsi,G. Nyamsi,Stade Rennais FC,France,CB,69,77,2900000,15000,Right,Medium/Medium,Normal (185+),32,24,66,65,27,39,33,29,46,62,51,55,51,59,39,61,72,57,91,23,77,66,29,39,43,68,67,60,13,5,13,14,13
72,RC Strasbourg Alsace,Gerzino Nyamsi,24,Centre-Back,Stade Rennais,€1.50m,in,Summer,1.5,Ligue 1,2021,2021/2022,France,G. Nyamsi,G. Nyamsi,Stade Rennais FC,France,CB,69,77,2900000,15000,Right,Medium/Medium,Normal (185+),32,24,66,65,27,39,33,29,46,62,51,55,51,59,39,61,72,57,91,23,77,66,29,39,43,68,67,60,13,5,13,14,13
74,RC Strasbourg Alsace,Mohamed Simakan,21,Centre-Back,RB Leipzig,€15.00m,out,Summer,15,Ligue 1,2021,2021/2022,France,M. Simakan,M. Simakan,RC Strasbourg Alsace,France,"CB, RB",71,82,3800000,12000,Right,Medium/High,Normal (185+),53,27,75,67,28,59,43,32,58,63,60,63,41,65,51,55,70,70,73,29,70,69,42,34,39,72,75,71,8,6,6,11,15
75,RB Leipzig,Mohamed Simakan,21,Centre-Back,R. Strasbourg,€15.00m,in,Summer,15,1 Bundesliga,2021,2021/2022,Germany,M. Simakan,M. Simakan,RC Strasbourg Alsace,France,"CB, RB",71,82,3800000,12000,Right,Medium/High,Normal (185+),53,27,75,67,28,59,43,32,58,63,60,63,41,65,51,55,70,70,73,29,70,69,42,34,39,72,75,71,8,6,6,11,15
76,Olympique Lyon,Jean Lucas,23,Central Midfield,Monaco,€11.00m,out,Summer,11,Ligue 1,2021,2021/2022,France,J. Lucas,Jean Lucas,Olympique Lyonnais,Brazil,"CM, CDM",72,82,5000000,33000,Right,Medium/Medium,Lean (170-185),58,52,61,78,53,74,64,45,75,75,69,67,67,73,72,77,58,71,73,74,73,62,65,72,47,64,66,61,12,7,14,13,11
77,AS Monaco,Jean Lucas,23,Central Midfield,Olympique Lyon,€11.00m,in,Summer,11,Ligue 1,2021,2021/2022,France,J. Lucas,Jean Lucas,Olympique Lyonnais,Brazil,"CM, CDM",72,82,5000000,33000,Right,Medium/Medium,Lean (170-185),58,52,61,78,53,74,64,45,75,75,69,67,67,73,72,77,58,71,73,74,73,62,65,72,47,64,66,61,12,7,14,13,11
78,Stade Rennais FC,Baptiste Santamaria,26,Central Midfield,SC Freiburg,€14.00m,in,Summer,14,Ligue 1,2021,2021/2022,France,B. Santamaria,B. Santamaria,Sport-Club Freiburg,France,"CDM, CM",79,82,21000000,27000,Right,Medium/Medium,Lean (170-185),64,64,62,81,42,76,48,59,79,81,60,60,70,73,68,75,70,91,67,62,71,75,61,74,46,77,78,77,7,7,13,7,8
79,SC Freiburg,Baptiste Santamaria,26,Central Midfield,Stade Rennais,€14.00m,out,Summer,14,1 Bundesliga,2021,2021/2022,Germany,B. Santamaria,B. Santamaria,Sport-Club Freiburg,France,"CDM, CM",79,82,21000000,27000,Right,Medium/Medium,Lean (170-185),64,64,62,81,42,76,48,59,79,81,60,60,70,73,68,75,70,91,67,62,71,75,61,74,46,77,78,77,7,7,13,7,8
80,OGC Nice,Wylan Cyprien,26,Central Midfield,Parma,€6.70m,out,Summer,6.7,Ligue 1,2021,2021/2022,France,W. Cyprien,W. Cyprien,OGC Nice,France,"CM, CDM",77,79,13000000,34000,Right,Medium/Medium,Normal (170-185),73,75,67,80,64,78,76,82,74,79,71,73,78,73,74,80,80,75,78,79,78,76,72,77,83,75,77,69,8,16,8,11,14
81,OGC Nice,Pierre Lees-Melou,28,Central Midfield,Norwich,€3.90m,out,Summer,3.9,Ligue 1,2021,2021/2022,France,P. Lees-Melou,P. Lees-Melou,OGC Nice,France,CM,78,79,16000000,37000,Right,High/High,Lean (185+),78,72,60,80,58,79,79,71,79,80,68,68,73,75,60,77,66,85,71,80,71,68,78,77,58,71,69,63,14,6,12,9,10
82,Norwich City,Pierre Lees-Melou,28,Central Midfield,OGC Nice,€3.90m,in,Summer,3.9,Premier League,2021,2021/2022,England,P. Lees-Melou,P. Lees-Melou,OGC Nice,France,CM,78,79,16000000,37000,Right,High/High,Lean (185+),78,72,60,80,58,79,79,71,79,80,68,68,73,75,60,77,66,85,71,80,71,68,78,77,58,71,69,63,14,6,12,9,10
83,FC Metz,Victorien Angban,24,Central Midfield,Sochi,€4.10m,out,Summer,4.1,Ligue 1,2021,2021/2022,France,V. Angban,V. Angban,FC Metz,Côte d'Ivoire,"CM, CDM",71,79,4100000,11000,Right,Medium/Medium,Lean (170-185),60,52,42,74,38,74,61,46,72,73,65,62,69,67,70,64,60,79,75,56,72,67,64,71,40,56,69,64,11,13,8,9,13
86,LOSC Lille,Boubakary Soumaré,22,Defensive Midfield,Leicester,€20.00m,out,Summer,20,Ligue 1,2021,2021/2022,France,B. Soumare,B. Soumaré,LOSC Lille,France,"CDM, CM",76,85,16000000,21000,Right,Medium/Medium,Lean (185+),59,51,60,77,53,76,64,53,76,78,69,69,71,75,69,64,69,77,77,58,76,74,66,75,52,69,73,69,11,6,13,5,10
87,Leicester City,Boubakary Soumaré,22,Defensive Midfield,LOSC Lille,€20.00m,in,Summer,20,Premier League,2021,2021/2022,England,B. Soumare,B. Soumaré,LOSC Lille,France,"CDM, CM",76,85,16000000,21000,Right,Medium/Medium,Lean (185+),59,51,60,77,53,76,64,53,76,78,69,69,71,75,69,64,69,77,77,58,76,74,66,75,52,69,73,69,11,6,13,5,10
88,LOSC Lille,Mike Maignan,25,Goalkeeper,AC Milan,€14.40m,out,Summer,14.4,Ligue 1,2021,2021/2022,France,M. Maignan,M. Maignan,LOSC Lille,France,GK,82,86,34500000,31000,Right,Medium/Medium,Normal (185+),18,13,17,36,16,22,14,16,27,24,47,46,39,80,55,62,72,39,78,20,17,24,14,50,15,14,12,19,80,80,82,82,83
89,AC Milan,Mike Maignan,25,Goalkeeper,LOSC Lille,€14.40m,in,Summer,14.4,Serie A,2021,2021/2022,Italy,M. Maignan,M. Maignan,LOSC Lille,France,GK,82,86,34500000,31000,Right,Medium/Medium,Normal (185+),18,13,17,36,16,22,14,16,27,24,47,46,39,80,55,62,72,39,78,20,17,24,14,50,15,14,12,19,80,80,82,82,83
91,Paris Saint-Germain,Achraf Hakimi,22,Right-Back,Inter,€66.50m,in,Summer,66.5,Ligue 1,2021,2021/2022,France,A. Hakimi,A. Hakimi,Inter,Morocco,RM,83,88,56000000,90000,Right,High/Medium,Lean (170-185),81,73,63,81,60,84,68,55,72,83,93,95,77,81,74,77,75,86,73,63,72,78,75,74,46,67,74,76,10,8,14,6,8
92,Inter Milan,Achraf Hakimi,22,Right-Back,Paris SG,€66.50m,out,Summer,66.5,Serie A,2021,2021/2022,Italy,A. Hakimi,A. Hakimi,Inter,Morocco,RM,83,88,56000000,90000,Right,High/Medium,Lean (170-185),81,73,63,81,60,84,68,55,72,83,93,95,77,81,74,77,75,86,73,63,72,78,75,74,46,67,74,76,10,8,14,6,8
102,Olympique Marseille,Pol Lirola,24,Right-Back,Fiorentina,€6.50m,in,Summer,6.5,Ligue 1,2021,2021/2022,France,P. Lirola,Pol Lirola,Fiorentina,Spain,"RM, RB",71,76,2900000,25000,Right,Medium/High,Normal (170-185),76,40,64,72,58,74,73,30,68,74,78,76,68,71,73,58,66,72,64,52,70,70,66,62,30,70,74,73,12,12,5,9,13
103,ACF Fiorentina,Pol Lirola,24,Right-Back,Marseille,€6.50m,out,Summer,6.5,Serie A,2021,2021/2022,Italy,P. Lirola,Pol Lirola,Fiorentina,Spain,"RM, RB",71,76,2900000,25000,Right,Medium/High,Normal (170-185),76,40,64,72,58,74,73,30,68,74,78,76,68,71,73,58,66,72,64,52,70,70,66,62,30,70,74,73,12,12,5,9,13
104,Olympique Marseille,Hiroki Sakai,31,Right-Back,Urawa Reds,€1.50m,out,Summer,1.5,Ligue 1,2021,2021/2022,France,H. Sakai,H. Sakai,Olympique de Marseille,Japan,"RB, LB",78,78,12000000,37000,Right,High/High,Normal (170-185),74,46,71,72,41,64,67,55,65,69,76,76,70,74,67,72,77,90,73,58,79,74,73,60,36,76,77,80,13,8,11,10,9
109,Stade Rennais FC,Sacha Boey,20,Right-Back,Galatasaray,€1.15m,out,Summer,1.15,Ligue 1,2021,2021/2022,France,S. Boey,S. Boey,Stade Rennais FC,France,RB,65,78,1600000,5000,Right,High/Medium,Lean (170-185),65,36,48,67,38,65,53,45,44,64,71,72,70,59,72,47,64,67,48,41,58,57,63,49,49,58,62,65,10,11,13,10,6
